,Unnamed: 0,Rank,Title,Status,Study Results,Conditions,Interventions,Locations,URL,field1,inclusion_creteria,field2,exclusion_creteria
693,693,694,Full Dose Heparin Vs. Prophylactic Or Intermediate Dose Heparin in High Risk COVID-19 Patients,Recruiting,No Results Available,Sars-CoV2|COVID,Drug: Enoxaparin|Drug: Prophylactic/Intermediate Dose Enoxaparin,"Beth Israel Newark, Newark, New Jersey, United States|Southside Hospital, Bay Shore, New York, United States|Huntington Hospital, Huntington, New York, United States|Lenox Hill Hospital, New York, New York, United States|Long Island Jewish Medical Center, Queens, New York, United States|Staten Island University Hospital, Staten Island, New York, United States",https://ClinicalTrials.gov/show/NCT04401293,Inclusion Criteria:,"Subject (or legally authorized representative) provides written informed consent prior to initiation of any study procedures.
Understands and agrees to comply with planned study procedures.
Male or non-pregnant female adult ≥18 years of age at time of enrollment.
Subject consents to randomization within 72 hours of hospital admission or transfer from another facility within 72 hours of index presentation.
Subjects with a positive COVID-19 diagnosis by nasal swab or serologic testing.
Hospitalized with a requirement for supplemental oxygen.

Have:

Either a D- Dimer > 4.0 X ULN, OR
Sepsis-induced coagulopathy (SIC) score of ≥4


Either a D- Dimer > 4.0 X ULN, OR
Sepsis-induced coagulopathy (SIC) score of ≥4",Exclusion Criteria:,"Indications for therapeutic anticoagulation

Absolute contraindication to anticoagulation including:

active bleeding,
recent (within 1 month) history of bleed,
dual (but not single) antiplatelet therapy,
active gastrointestinal and intracranial cancer,
a history of bronchiectasis or pulmonary cavitation,
Hepatic failure with a baseline INR > 1.5,
CrCl < 15ml/min,
a platelet count < 25,000,
a history of heparin-induced thrombocytopenia (HIT) within the past 100 days or in the presence of circulating antibodies,
contraindications to enoxaparin including a hypersensitivity to enoxaparin sodium, hypersensitivity to heparin or pork products, hypersensitivity to benzyl alcohol,
pregnant female,
inability to give or designate to give informed consent,
participation in another blinded trial of investigational drug therapy for COVID-19


active bleeding,
recent (within 1 month) history of bleed,
dual (but not single) antiplatelet therapy,
active gastrointestinal and intracranial cancer,
a history of bronchiectasis or pulmonary cavitation,
Hepatic failure with a baseline INR > 1.5,
CrCl < 15ml/min,
a platelet count < 25,000,
a history of heparin-induced thrombocytopenia (HIT) within the past 100 days or in the presence of circulating antibodies,
contraindications to enoxaparin including a hypersensitivity to enoxaparin sodium, hypersensitivity to heparin or pork products, hypersensitivity to benzyl alcohol,
pregnant female,
inability to give or designate to give informed consent,
participation in another blinded trial of investigational drug therapy for COVID-19"
694,694,695,Mobile Health Study and Enhanced Symptom Monitoring in COVID-19 Cancer Patients,Not yet recruiting,No Results Available,Sars-CoV2|Covid-19,Other: mHealth Assessments,"Stephenson Cancer Center, Oklahoma City, Oklahoma, United States",https://ClinicalTrials.gov/show/NCT04397614,Inclusion Criteria:,"Cancer patients at Stephenson Cancer Center Infusion Clinic
Demonstrate > 6th grade English literacy level",Exclusion Criteria:,None
695,695,696,A Study of Hydroxychloroquine and Zinc in the Prevention of COVID-19 Infection in Military Healthcare Workers,Not yet recruiting,No Results Available,Sars-CoV2|COVID19,Drug: Hydroxychloroquine|Drug: Hydroxychloroquine (placebo)|Drug: Zinc|Drug: Zinc (Placebo),"Military Hospital of Tunis, Tunis, Tunisia",https://ClinicalTrials.gov/show/NCT04377646,Inclusion Criteria:,"No self-medication with chloroquine, hydroxychloroquine or antivirals
COVID-19 negative diagnosis confirmed by ""rapid test"" and ""PCR test"" (Polymerase Chain Reaction test)
No clinical symptoms suggestive of COVID-19
Having given written consent for their participation in the study",Exclusion Criteria:,"Participation in other clinical trials for the treatment or prevention of SARS-COV-2 infection within 30 days before inclusion
Hypersensitivity to any of the drugs or to any of its excipients.
ECG showing rhythm disturbances, QT interval> 500 ms, conduction disturbances.
Severe hepatic impairment.
Concomitant treatments : colchicin, ergot of rye, pimozide, mizolastin, simvastatin, lomitapide, alfuzosin, dapoxetin, avanafil, ivabradin, eplerenone, dronedaron, quetiapine, ticagrelor, cisapride, astemizole, astemizol.
Retinal pathology.
Epilepsy.
Myasthenia.
Psoriasis.
Methemoglobinemia.
Porphyria.
Pregnant or lactating women
Contraindication to the study products"
697,697,698,Psychological Impact of Quarantine in Chronic Pain Patient During COVID-19 Outbreak,Completed,No Results Available,Sars-CoV2|Chronic Pain,Other: questionnaire assesment,"Hopital Roger Salengro, CHU Lille, Lille, France",https://ClinicalTrials.gov/show/NCT04353011,Inclusion Criteria:,"Patient with chronic pain
Patient in confinement
Patient with sufficient understanding of the French language",Exclusion Criteria:,"Non adult patient
patient without quarantine"
698,698,699,Psychological Impact of Quarantine in Osteoporosis Patient During COVID-19 Outbreak,Completed,No Results Available,Sars-CoV2|Osteoporosis,Other: questionnaire assesment,"Hopital Roger Salengro, CHU Lille, Lille, France",https://ClinicalTrials.gov/show/NCT04351633,Inclusion Criteria:,"Patient with osteoporosis
Patient in confinement
Patient with sufficient understanding of the French language",Exclusion Criteria:,"Non adult patient
patient without quarantine"
700,700,701,Clinical Characteristics and Outcomes of Pediatric COVID-19,Recruiting,No Results Available,"COVID-19|SARS-CoV-2 Infection|Pediatric ALL|Pneumonia, Viral|Pandemic Response",Other: Exposure (not intervention) - SARS-CoV-2 infection,"University of Calgary/Alberta Children's Hospital, Calgary, Alberta, Canada",https://ClinicalTrials.gov/show/NCT04330261,Inclusion Criteria:,"< 18 years-old, and
Present to a participating ED for care, and
Undergo SARS-CoV-2 testing.",Exclusion Criteria:,
701,701,702,Mesenchymal Stem Cell Therapy for SARS-CoV-2-related Acute Respiratory Distress Syndrome,Recruiting,No Results Available,Covid-19,Biological: Cell therapy protocol 1|Biological: Cell therapy protocol 2,"Royan Institute, Tehran, Iran, Islamic Republic of",https://ClinicalTrials.gov/show/NCT04366063,Inclusion Criteria:,"Confirmation of 2019-nCoV infection by RT-PCR
Diagnosis of ARDS according to the Berlin definition of ARDS
Requiring supplemental oxygen
Pneumonia that is judged by chest radiograph or CT
PaO2/oxygen absorption concentration (FiO2) ≤ 300MMHG
Pulmonary imaging shows that the focused progress > 50% in 24-48 hours
Mild to Moderate 2019-nCoV pneumonia/ stay in the ICU <48 hours
SOFA score between 2-3 point",Exclusion Criteria:,"Severe allergies or allergies after 1st injection to stem cell preparations and their components
Patients with a malignant tumor, other serious systemic diseases, and psychosis
Co-Infection of HIV, tuberculosis, influenza virus, adenovirus, and other respiratory infection viruses
Patients with a previous history of pulmonary embolism
Be thought by researchers to be inappropriate to participate in this clinical study (Expected deaths within 48 hours, uncontrolled infections)
Liver or kidney SOFA score of more than 3 points; combined with other organ failures (need organ support), Stage 4 severe chronic kidney disease or requiring dialysis (i.e. estimated glomerular filtration rate (eGFR) < 30)
Pulmonary obstructive pneumonia, severe pulmonary interstitial fibrosis, alveolar proteinosis, allergic alveolitis, and other known viral pneumonia or bacterial pneumonia
Continuous use of immunosuppressive agents or organ transplants in the past 6 months
In vitro life support (ECMO, ECCO2R, RRT)
Pregnant or lactating women
Uncontrolled underlying disease"
702,702,703,Protein Electrophoresis as a Tool for Complications Prediction in COVID-19 Hospitalised Patients,Not yet recruiting,No Results Available,SARS-CoV 2|Hospitalisation-Associated Infection,,"Clinique de l'Estrée, Stains, France",https://ClinicalTrials.gov/show/NCT04414059,Inclusion Criteria:,"Male of female aged 18 or over

Patients with at least one of the following diagnostic criteria, allowing to suspect an infection by the virus SARS-CoV- 2 :

Clinical picture with fever, and/or exertional dyspnea, and/or PO2 < 80mmHg
And/or chest scanner very suggestive or compatible with a COVID-19 infection
And/or a RT-PCR positive result already known


Clinical picture with fever, and/or exertional dyspnea, and/or PO2 < 80mmHg
And/or chest scanner very suggestive or compatible with a COVID-19 infection
And/or a RT-PCR positive result already known
Hospitalized patient in a COVID-19 medical unit, based on one or several diagnostic elements described
Possibility to collect blood and urine samples as described in protocol
Patients informed of the study, having understood it, and who didn't oppose to their participation",Exclusion Criteria:,"Clinical condition justifying immediate hospitalization in the intensive care unit
During the initial patient management, an immediate need of oxygen requiring intubation and/or oxygen supply greater than 6 liters / minute
Patients under legal protection
Pregnant or breastfeeding women"
704,704,705,Consequences of the QUARANTINE Relating to the COvid-19 Epidemic on the Mental Health of the Patients Followed in PSYchiatry,Not yet recruiting,No Results Available,SARS-CoV 2|Traumatic Stress Disorder,,,https://ClinicalTrials.gov/show/NCT04405362,Inclusion Criteria:,Patients already followed in psychiatry before quarantine by one of the psychiatrists subscribed to L'Encéphale online.,Exclusion Criteria:,Refusal to complete the questionnaire
705,705,706,Characteristics of COVID-19 Infection Among PREGnant Women,Not yet recruiting,No Results Available,Corona Virus Infection|Pregnancy Related,Other: COVID-19 positive via testing,,https://ClinicalTrials.gov/show/NCT04398264,Inclusion Criteria:,">18 years-old
Pregnant women admitted to obstetric units (Labor and Delivery, Antepartum High Risk Pregnancy, pre-operative obstetric related surgeries as Cesarean or Cerclage) of Inova Health System hospitals",Exclusion Criteria:,
706,706,707,Favipiravir vs Hydroxychloroquine in COVID -19,Not yet recruiting,No Results Available,SARS-CoV 2|COVID-19,Drug: Hydroxychloroquine|Drug: Favipiravir|Other: Routine care for COVID-19 patients,"Royal College of Surgeons in Ireland - Bahrain, Manama, Bahrain",https://ClinicalTrials.gov/show/NCT04387760,Inclusion Criteria:,"COVID-19 diagnosis in the last 48hrs confirmed by PCR nasopharyngeal swab.
Symptomatic with at least 1 of the following symptoms : Oral Temperature >37.8C, cough, shortness of breath, extreme fatigue, headache, myalgia or Sore throat
Able to give informed consent
Patients between the ages of 21 and above with no upper age.",Exclusion Criteria:,"Asymptomatic.
Patient unable to give informed consent.
Cardiac dysfunction that would preclude treatment with hydroxychloroquine (known cardiomyopathy, known ventricular arrhythmia, presence of pacemaker), prolonged QT interval, prolonged PR interval, Heart block prior to randomization
Renal dysfunction (estimated glomerular filtration rate less than 45ml/min)
Hepatic dysfunction defined as Transaminitis more the 3 times the upper limit of normal or chronic liver disease of Child Pugh Class B or more
Gout/history of gout or hyperuricemia (above the ULN)
Pregnant or lactating female patients (all premenapausal female patients will need a pregnancy test if randomised to Favipiravir)
Patients with known allergies to intervention medications
Readmission due to COVID19 disease
Randomised to any other COVID-19 disease trial
Patients on immunosuppressants, HIV patients, Malignancy; patients who received chemotherapy within the last 6 months or on chronic oral steroids."
708,708,709,Sirolimus in COVID-19 Phase 1,Recruiting,No Results Available,SARS-CoV-2|Covid-19,Drug: Sirolimus 1 MG/ML|Drug: Placebo,"Thomas Jefferson University Hospital, Philadelphia, Pennsylvania, United States",https://ClinicalTrials.gov/show/NCT04371640,Inclusion Criteria:,"Male or non-pregnant female >/=18 and </=65 years of age at the time of consent
Laboratory confirmed SARS-CoV-2 infection
Investigator-estimated hospitalization duration of at least 5 days",Exclusion Criteria:,"Need for >4 liters nasal cannula oxygen to maintain oxygen saturation >90%
Hypersensitivity to sirolimus
Pregnant or breastfeeding
Anticipated transfer to another study hospital within 72 hours
Alanine transaminase (ALT) >3 times the upper limit of normal
Creatinine clearance <30mL/min as estimated by Cockcroft-Gault
Underlying immunosuppression due to daily >5 mg prednisone equivalent a day, prior solid organ transplant, or other immunosuppression deemed by investigator to be potentially unsafe
Co-administration with strong inhibitors of CYP3A4 and/or P-glycoprotein (P-gp) (such as ketoconazole, voriconazole, itraconazole, telithromycin, clarithromycin and others)
Co-administration with strong inducers of CYP3A4 and/or P-glycoprotein (P-gp) (such as phenytoin or rifampin)
Anticipated surgery within 1 month
Need for healing of a fracture or a significant soft tissue wound"
709,709,710,VA Remote and Equitable Access to COVID-19 Healthcare Delivery (VA-REACH TRIAL),"Active, not recruiting",No Results Available,SARS-CoV-2|COVID-19,Drug: Hydroxychloroquine|Drug: Azithromycin|Drug: Placebo oral tablet,"San Francisco VA, San Francisco, California, United States",https://ClinicalTrials.gov/show/NCT04363203,Inclusion Criteria:,"willingness to take the study drug and ability to take oral medications
able to be contacted by phone
willing and able to give informed consent for participation in the study and agrees with its conduct and willing to email the study team a picture of their consent form",Exclusion Criteria:,
710,710,711,Convalescent Plasma Trial in COVID -19 Patients,Recruiting,No Results Available,SARS-CoV 2|COVID-19,Other: plasma therapy using convalescent plasma with antibody against SARS-CoV-2|Other: Routine care for COVID-19 patients,"Royal College of Surgeons in Ireland - Bahrain, Manama, Bahrain",https://ClinicalTrials.gov/show/NCT04356534,Inclusion Criteria:,"COVID-19 diagnosis
Hypoxia, (Oxygen saturation of less than or equal 92% or PO2 < 60mmHg on arterial blood gas analysis) and patient requiring oxygen therapy
Evidence of infiltrates on Chest Xray or CT scan
Able to give informed consent
Patients between the ages of 21 and above with no upper age.",Exclusion Criteria:,"Patients with mild disease not requiring oxygen therapy
Patients with normal CXR & CT scan
Patients requiring ventilatory support
Patients with a history of allergy to plasma, sodium citrate or methylene blue
Patients with a history of autoimmune disease or selective IGA deficiency."
711,711,712,Immunological Profiling of Patients With COVID-19 in Respiratory Distress,Not yet recruiting,No Results Available,SARS-CoV-2|Covid-19,Other: Immunological profiling,"CHU de Nimes, Nîmes, France",https://ClinicalTrials.gov/show/NCT04351711,Inclusion Criteria:,"The patient must be a member or beneficiary of a health insurance plan
Patient hospitalized in respiratory resuscitation or in the service of Infectious and Tropical Diseases of the CHU de Nîmes with infection by SARS-CoV-2, confirmed by RT-PCR.",Exclusion Criteria:,"The subject is in a period of exclusion determined by a previous study
The patient is under safeguard of justice
Patient already under ventilation transferred from another center"
712,712,713,Test and Treat COVID 65plus+,Recruiting,No Results Available,SARS-CoV 2|COVID-19,Drug: Hydroxychloroquine|Other: Placebo,"Uniklinikum Tuebingen, Tuebingen, Germany|Uniklinikum Ulm, Ulm, Germany",https://ClinicalTrials.gov/show/NCT04351516,Inclusion Criteria:,"Written informed consent
Age ≥ 65 years
Mild to moderate symptomatic respiratory tract Infection defined as not requiring hospital admission: SpO2 >94%, respiratory rate <20, mental state alert, no signs of septic shock
Proven SARS-Cov2 infection by throat swab (PCR)
Onset of symptoms within the last 3 days before randomization
Must be able to adhere to the study visit schedule and other protocol requirements in the investigator's opinion. I.e. must be able to answer to questions concerning symptoms and side effects and must be able to consent to the informed consent.",Exclusion Criteria:,"Hospitalization at study inclusion
Weight <50 kg
Acute myocardial infarction
Severe heart failure, characterized as NYHA class 3 or 4
Use of concomitant medications that prolong the QT/QTc interval.
QTc >450ms
Bilirubin ≥ 1,5 x UNL, (except for known M. Meulengracht)
AST/ALT ≥ 3 x ULN
Albumine ≤ 2.8 g/dl
Hemoglobin ≤ 9 g/dl
Leucocytes ≤ 2000/µl
Neutrophiles ≤ 1000/µl
Thrombocytes ≤ 100.000/µl
Troponin elevation
BNP > 500 pg/ml
Creatine kinase > 5 x ULN
Creatinine >1,5 mg/dl
Uncorrected hypopotassemia or hypomagnesemia
History of hypoglycemic events
History of or present cardial arrhythmia (except atrial fibrillation or paroxysmal supraventricular tachycardia)
Bradycardia < 60 beats/min
History of Retinopathy or Maculopathy
Psoriasis
Myasthenia gravis
Epilepsy
Immunodeficiency syndromes or need for highly immunosuppressive medication
Pre-existing medication with hydroxychloroquine
Known G6PD deficiency.
Participation in another interventional study
Known hypersensibility to hydroxychloroquine and its derivates"
714,714,715,National Survey of Symptoms of People Aged 70 and Overs Diagnosed With COVID-19,Completed,No Results Available,SARS-CoV-2|COVID-19,Other: observation,"Angers University Hospital, Angers, France",https://ClinicalTrials.gov/show/NCT04343781,Inclusion Criteria:,confirmed COVID-19 defined by a positive RT-PCR to SARS-CoV-2,Exclusion Criteria:,none
715,715,716,Randomized Comparison of Combination Azithromycin and Hydroxychloroquine vs. Hydroxychloroquine Alone for the Treatment of Confirmed COVID-19,Recruiting,No Results Available,SARS-CoV-2|COVID-19,Combination Product: Hydroxychloroquine Sulfate + Azithromycin|Drug: Hydroxychloroquine Sulfate,"Saint Barnabas Medical Center, Livingston, New Jersey, United States|Monmouth Medical Center, Long Branch, New Jersey, United States|Morristown Medical Center, Morristown, New Jersey, United States|Robert Wood Johnson University Hopsital, New Brunswick, New Jersey, United States|Rutgers Cancer Institute of New Jersey, New Brunswick, New Jersey, United States|The University Hospital, Newark, New Jersey, United States|Overlook Hospital, Summit, New Jersey, United States",https://ClinicalTrials.gov/show/NCT04336332,Inclusion Criteria:,"Patients with proven SARS-CoV-2 infection by an accepted assay with symptoms consistent with COVID-19
Ability to measure and quantify viral load by quantitative PCR
Age 18 to 89
Ability to swallow oral medications
Patients must read, understand and sign IRB approved informed consent",Exclusion Criteria:,"Pregnancy or women who are breast feeding
Two consecutive negative assays for SARS-CoV-2 infection
Patients that lack decision-making capacity will not be approached to participate in this study
Inability to tolerate oral medications
Allergy or prior adverse reaction to either azithromycin or hydroxychloroquine sulfate
QTc interval > 470 mSEC
History of ongoing ventricular cardiac dysrhythmias of grade 2 as described by NCI CTCAE 5.0 criteria
History of serious ventricular arrhythmia (VT or VF > 3 beats in a row)"
716,716,717,Prognostic Factors of Patients With COVID-19,Completed,No Results Available,"SARS-CoV-2|Outcome, Fatal",,"The First Affiliated Hospital of Chongqing Medical University, Chongqing, China",https://ClinicalTrials.gov/show/NCT04292964,Inclusion Criteria:,"Adult aged >=18years old;
Diagnosed with CONVID19. Diagnostic criteria including: Laboratory (RT-PCR) confirmed SARS-Cov-2 infection; CT of the lung conformed to the manifestation of viral pneumonia.
Criteria for severe or critical ill conditions: Respiratory rate >=30/min; or Rest SPO2<=93%; or PaO2/FiO2<=300mmHg.",Exclusion Criteria:,"Near-death state (expected survival time less than 24 hours);
Malignant tumor;
Pregnancy or puerperium women;
Patients who refused to participant."
717,717,718,"Lung Function, Exercise Capacity and Health-Related Quality of Life After Severe COVID-19",Recruiting,No Results Available,COVID-19|SARS-CoV-2 Infection,"Diagnostic Test: Lung Function tests|Diagnostic Test: Exercise capacity|Diagnostic Test: Exercise physiology|Diagnostic Test: Health-related quality of life|Diagnostic Test: Respiratory symptoms, symptoms of anxiety and depression, and post-traumatic stress screening","Universidade de Passo Fundo, Passo Fundo, Rio Grande Do Sul, Brazil|Hospital Moinhos de Vento, Porto Alegre, Rio Grande Do Sul, Brazil|Hospital de Clínicas de Porto Alegre/Universidade Federal do Rio Grande do Sul, Porto Alegre, Rio Grande Do Sul, Brazil|Univesidade de Ciências da Saúde de Porto Alegre, Porto Alegre, Rio Grande Do Sul, Brazil|Hospital Nossa Senhora da Conceição, Porto Alegre, Rio Grande Do Sul, Brazil",https://ClinicalTrials.gov/show/NCT04410107,Inclusion Criteria:,"Previous laboratory confirmation of SARS-Cov-2 infection defined as a positive result of reverse polymerase-transcriptase chain reaction test in real-time of a sample taken by nasal and/or pharyngeal swab; and
Severe pneumonia defined by the presence of fever or suspected lower respiratory infection, plus one of the following criteria: respiratory rate> 30 movements/min; severe respiratory distress; SpO2≤93% in room air; or pulmonary infiltrates>50% on chest imaging within 24-48hrs of acute symptoms onset; and/or
Acute respiratory distress syndrome (ARDS) defined according to COVID-19 operational management guide of World Health Organization and classified as mild (200 mmHg <PaO2 / FiO2 ≤ 300 mmHg), moderate (100 mmHg <PaO2 / FiO2 ≤ 200 mmHg) or severe (PaO2 / FiO2 ≤ 100 mmHg). When the PaO2 is not available, SpO2 / FiO2 ≤ 315 suggests ARDS.",Exclusion Criteria:,"Lack of clinical stability for 2 months before inclusion (including those who remain hospitalized);
Active respiratory tract infection (of any cause); or
Any clinical condition that prevents the performance of the study procedures."
718,718,719,Oropharyngeal Dysphagia in Patients With COVID-19,Recruiting,No Results Available,Oropharyngeal Dysphagia|COVID-19|Sars-CoV2|Nutrition,Diagnostic Test: Swallowing evaluation with the EAT-10 and the volume-viscosity swallowing test (V-VST),"Consorci Sanitari del Maresme (Hospital de Mataró), Mataró, Barcelona, Spain",https://ClinicalTrials.gov/show/NCT04346212,Inclusion Criteria:,"Infected patients (COVID-19 + by PCR) admitted to the CSdM more than 48 h.
Patients able to be explored regarding OD and nutritional status according to their physician's criteria (fully awake patients in a stable respiratory situation and optimal PaO2/FiO2).",Exclusion Criteria:,Uncontrolled risk of infection for healthcare professionals (HCP) (according to the safety considerations stated below).
719,719,720,The Impact of COVID-19 on Dialysis Users,"Active, not recruiting",No Results Available,End Stage Renal Disease|Sars-CoV2,,"School of Sport Health and Exercise Science, Portsmouth, Outside The United States Or Canada, United Kingdom",https://ClinicalTrials.gov/show/NCT04422873,Inclusion Criteria:,"Aged 18 years or older
Willing and able to undertake the interview process
Able to give informed consent",Exclusion Criteria:,"Age < 18 years
Does not provide written informed consent
Any neurological/psychiatric diagnoses
Lack of fluency in English
Individuals who have commenced RRT within three months of the study start date"
723,723,724,Progesterone for the Treatment of COVID-19 in Hospitalized Men,Recruiting,No Results Available,COVID-19|Sars-CoV2,Drug: Progesterone 100 MG,"Cedars Sinai Medical Center, Los Angeles, California, United States",https://ClinicalTrials.gov/show/NCT04365127,Inclusion Criteria:,"Laboratory-confirmed COVID-19 with in 72 hours prior to randomization
Respiratory symptoms or abnormal lung exam or abnormal chest imaging AND oxygen saturation ≤94% on room air, or requiring supplemental oxygen less than 50% high flow
Understands and agrees to comply with planned study procedures
Agrees to the collection of venous blood per protocol
Must agree to be placed on prophylactic dose of anticoagulation for prevention of deep venous thrombosis (DVT) while hospitalized",Exclusion Criteria:,"ALT or AST >5 times the upper limit of normal
≥ Stage 4 severe chronic kidney disease or requiring dialysis
History of blood clots
History of breast cancer
Allergy to progesterone or betacyclodextrin
Use of supplemental oxygen prior to hospital admission
Requiring higher than 50% supplemental oxygen by high flow nasal cannula or mechanical ventilation"
726,726,727,Registry of Seraph®-100 Microbind® Affinity Blood Filter for COVID-19 Under EUA,Not yet recruiting,No Results Available,COVID-19|SARS-CoV 2,Device: Seraph®-100 Microbind® Affinity Blood Filter,,https://ClinicalTrials.gov/show/NCT04413955,Inclusion Criteria:,"Confirmed COVID-19 infection
Confirmed or imminent respiratory failure

At least one of the following conditions

Early acute lung injury (ALI) or early acute respiratory distress syndrome (ARDS)

Severe disease, defined as:

dyspnea,
respiratory frequency ≥ 30 bpm,
blood oxygen saturation ≤ 93%,
partial pressure of arterial oxygen to fraction of inspired oxygen ratio < 300, and/or
lung infiltrates > 50% within 24 to 48 hours



Life-threatening disease, defined as:

respiratory failure,
septic shock, and/or
multiple organ dysfunction or failure




Early acute lung injury (ALI) or early acute respiratory distress syndrome (ARDS)

Severe disease, defined as:

dyspnea,
respiratory frequency ≥ 30 bpm,
blood oxygen saturation ≤ 93%,
partial pressure of arterial oxygen to fraction of inspired oxygen ratio < 300, and/or
lung infiltrates > 50% within 24 to 48 hours


dyspnea,
respiratory frequency ≥ 30 bpm,
blood oxygen saturation ≤ 93%,
partial pressure of arterial oxygen to fraction of inspired oxygen ratio < 300, and/or
lung infiltrates > 50% within 24 to 48 hours

Life-threatening disease, defined as:

respiratory failure,
septic shock, and/or
multiple organ dysfunction or failure


respiratory failure,
septic shock, and/or
multiple organ dysfunction or failure",Exclusion Criteria:,No Exclusion
727,727,728,Slovenian National COVID-19 Prevalence Study,Recruiting,No Results Available,COVID-19|SARS-CoV-2,Diagnostic Test: NO intervention planned due to the observational study design - only a diagnostic testing,"University of Ljubljana, Ljubljana, Slovenia",https://ClinicalTrials.gov/show/NCT04376996,Inclusion Criteria:,,Exclusion Criteria:,
728,728,729,A Study of Outcomes in Patients With Fractured Neck of Femur During the COVID-19 Pandemic,Completed,No Results Available,Femoral Neck Fractures|SARS-CoV 2,"Other: Surgery: Dynamic Hip Screw, hemiarthroplasty, hip replacement, intramedullary nail","Barts Health NHS Trust, London, United Kingdom",https://ClinicalTrials.gov/show/NCT04375501,Inclusion Criteria:,"Fractured neck of femur
Received operative intervention for fractured neck of femur",Exclusion Criteria:,"open fracture
fracture of femoral shaft
periprosthetic fracture
revision surgery"
730,730,731,COVID-19 Survival - The COVIVA Study,Recruiting,No Results Available,COVID-19|SARS-CoV 2,,"University Hospital Basel, Basel, Switzerland",https://ClinicalTrials.gov/show/NCT04366765,Inclusion Criteria:,"Clinically suspected or confirmed SARS-CoV-2 infection triaged to the ED
SARS-CoV-2 swab test performed (result may be pending at time of study enrolment)
Age ≥18 years
Patient or legally authorized representative is willing to sign local General consent form",Exclusion Criteria:,Patient or legally authorized representative is unable or unwilling to participate in the study.
733,733,734,Evaluating the Efficacy of Hydroxychloroquine and Azithromycin to Prevent Hospitalization or Death in Persons With COVID-19,Recruiting,No Results Available,COVID-19|SARS-CoV 2,Drug: Hydroxychloroquine (HCQ)|Drug: Azithromycin (Azithro)|Drug: Placebo for Hydroxychloroquine|Drug: Placebo for Azithromycin,"Alabama CRS, Birmingham, Alabama, United States|UCLA CARE Center CRS, Los Angeles, California, United States|University of Southern California CRS, Los Angeles, California, United States|UCSD Antiviral Research Center CRS, San Diego, California, United States|Ucsf Hiv/Aids Crs, San Francisco, California, United States|Harbor-UCLA CRS, Torrance, California, United States|University of Colorado Hospital CRS, Aurora, Colorado, United States|Whitman-Walker Health CRS, Washington, District of Columbia, United States|The Ponce de Leon Center CRS, Atlanta, Georgia, United States|Northwestern University CRS, Chicago, Illinois, United States|Rush University CRS, Chicago, Illinois, United States|Massachusetts General Hospital CRS (MGH CRS), Boston, Massachusetts, United States|New Jersey Medical School Clinical Research Center CRS, Newark, New Jersey, United States|Weill Cornell Chelsea CRS, New York, New York, United States|Weill Cornell Uptown CRS, New York, New York, United States|University of Rochester Adult HIV Therapeutic Strategies Network CRS, Rochester, New York, United States|Chapel Hill CRS, Chapel Hill, North Carolina, United States|Greensboro CRS, Greensboro, North Carolina, United States|Cincinnati Clinical Research Site, Cincinnati, Ohio, United States|Case Clinical Research Site, Cleveland, Ohio, United States|Ohio State University CRS, Columbus, Ohio, United States|Penn Therapeutics, CRS, Philadelphia, Pennsylvania, United States|University of Pittsburgh CRS, Pittsburgh, Pennsylvania, United States|The Miriam Hospital Clinical Research Site (TMH CRS) CRS, Providence, Rhode Island, United States|Vanderbilt Therapeutics (VT) CRS, Nashville, Tennessee, United States|Trinity Health and Wellness Center CRS, Dallas, Texas, United States|University of Washington AIDS CRS, Seattle, Washington, United States|Puerto Rico AIDS Clinical Trials Unit CRS, San Juan, Puerto Rico",https://ClinicalTrials.gov/show/NCT04358068,Inclusion Criteria:,"Documentation of confirmed active severe acute respiratory syndrome coronavirus (SARS-CoV-2) infection.
Experiencing at least one of the following SARS-CoV-2 infection symptoms within 24 hours of screening: fever (can be subjective) OR cough OR shortness of breath.
Agrees to not participate in another clinical trial for the treatment of COVID-19 or SARS-CoV-2 during the study period up until reaching hospitalization or 21 days, whichever is earliest.
Agrees to not obtain study medications outside of the A5395 study.",Exclusion Criteria:,"Need for hospitalization or immediate medical attention in the clinical opinion of the study investigator.
History of or current hospitalization for COVID-19.
History of ventricular arrhythmia or using antiarrhythmics within the past 30 days.
Personal or family history of Long QT syndrome.
History of kidney disease.
History of ischemic or structural heart disease.
History of hypokalemia or hypomagnesemia or taking potassium supplementation or magnesium supplementation
Personal medical history of porphyria, retinopathy, severe hepatic impairment, or glucose-6-phosphate dehydrogenase (G6PD) deficiency.
Use of drugs with possible anti-SARS-CoV-2 activity within 30 days prior to study entry, e.g., remdesivir, lopinavir/ritonavir fixed dose combination, ribavirin, chloroquine, hydroxychloroquine, and azithromycin, or participation in a clinical trial involving any of these drugs whether for treatment or prophylaxis.
Requirement or expected requirement for a medication that significantly prolongs QT intervals or increases risk for QT prolongation.
Loop diuretics are exceptions to above exclusion criterion but these cannot be used within 30 days prior to study entry.
Participating in a study where co-enrollment is not allowed.
Receipt of a SARS-CoV-2 vaccination prior to study entry.
Known allergy/sensitivity or any hypersensitivity to components of HCQ, azithromycin, or their formulation."
