,Inclusion Criteria,Exclusion Criteria
298,"Male and female patients age at least 18 years of age, or age of consent in the region.
Newly diagnosed Stage IIIB or IV non-small cell lung cancer (according to Revised International System for Staging Lung Cancer criteria of 2010) or recurrent non-small cell lung cancer (NSCLC).
Histologically or cytologically confirmed diagnosis of predominately non-squamous NSCLC.
Be eligible to receive study treatment of bevacizumab, paclitaxel, and carboplatin based on local standard of care, for the treatment of advanced or metastatic non-squamous NSCLC.","Small cell lung cancer (SCLC) or combination SCLC and NSCLC. Squamous-cell tumors and mixed adenosquamous carcinomas of predominantly squamous nature.
Evidence of a tumor that compresses or invades major blood vessels or tumor cavitation that is likely to bleed.
Known sensitizing EGFR mutations (for example, deletion 19 or L858R) or EML4-ALK translocation positive mutations.
Prior systemic therapy for NSCLC; prior neoadjuvant or adjuvant therapy is allowed if surgical resection for primary disease was performed."
299,"Histologically and/or cytologically confirmed primary diagnosis of Stage IV NSCLC (according to American Joint Committee on Cancer [AJCC] 7th edition lung cancer staging criteria).
Measurable disease according to RECIST v.An EGFR exon 19 deletion and/or an exon 21 (L858R) substitution mutation.
BDX004 Positive Label.
Have received no prior systemic chemotherapy, immunotherapy, targeted therapy, or biologic therapy for metastatic NSCLC. Subjects may have previously been treated with postoperative adjuvant chemotherapy for early stage lung cancer or chemo radiotherapy for locally advanced disease provided this was completed at least 6 months prior to enrollment. No prior EGFR TKI therapy is allowed for any stage of NSCLC.
Eastern Cooperative Oncology Group (ECOG) performance status of 0 or Exclusion Criteria
History of severe allergic or anaphylactic reactions or hypersensitivity to recombinant proteins or excipients in the investigational agent or erlotinib.
History of known brain metastases.
Prior treatment with any other investigational drug or biologic agent within 5 half lives prior to randomization, or any investigational device within 2 weeks prior to randomization.
1Any unresolved toxicity from previous radiation therapy.
1Significant cardiovascular disease, including:
1) Echocardiogram (ECHO) or multiple gated acquisition (MUGA) showing left ventricular ejection fraction of less than 55%.
2) Cardiac failure New York Heart Association class III or IV.
3) Myocardial infarction, severe or unstable angina within 6 months prior to randomization.
4) History of serious ventricular arrhythmia (ie, ventricular tachycardia or ventricular fibrillation).
5) Significant thrombotic or embolic events within 3 months prior to randomization (significant thrombotic or embolic events include but are not limited to stroke or transient ischemic attack).
6) Any uncontrolled or severe cardiovascular disease.
1History of prior malignancy within 3 years prior to randomization (except for adequately treated non-melanoma skin cancer, carcinoma in situ of the breast or cervix, superficial bladder cancer, or early stage prostate cancer, without evidence of recurrence).
1Radiographic evidence of interstitial lung disease.",
300,"Cytologically or histologically confirmed diagnosis of Stage IV NSCLC as defined by the American Joint Committee on Cancer Staging Criteria for Lung Cancer (AJCC 7th edition 2009).
Eligible for first-line treatment with erlotinib based on documented evidence of tumor harboring an activating EGFR mutation [exon 19 deletion or exon 21 (L858R) substitution mutation].
Mandatory provision of adequate archived stage IV NSCLC tissue samples or tissue samples other than stage IV NSCLC may be acceptable (optional for part C).
At least one measurable lesion.
Life expectancy of at least 3 months.","Known T790M EGFR mutation (not applicable for Part C Period 2).
Known leptomeningeal carcinomatosis, uncontrolled/unstable spinal cord compression, or brain metastases.
Serious illness or medical condition.
Ongoing treatment with CYP3A4 inducers or strong inhibitors.
Ongoing therapy with nonsteroidal anti-inflammatory drugs for more than 2 months.
History of gross hemoptysis.
Significant bleeding disorders.
Radiologically documented evidence of major blood vessel invasion or encasement by cancer.
Radiographic evidence of intratumor cavitation.
1History of gastrointestinal perforation within last 6 months.
1History of bowel obstruction, inflammatory enteropathy or extensive intestinal resection.
1History of any arterial thrombotic event within 6 months prior to enrollment.
1The participant has any known significant ophthalmologic abnormalities of the surface of the eye."
301,"Histologically or cytologically confirmed diagnosis of NSCLC that demonstrates ALK positivity as assessed by approved FISH test (Abbott Molecular Inc), using Vysis breakapart probes (defined as 15% or more positive tumor cells); or the Ventana IHC test. If documentation of ALK positivity is not available, the test to confirm ALK positivity must be performed according to the above criterion, using a new tumor biopsy obtained prior to the first dose of ETP treatment (LDK378).
Stage IIIB or IV NSCLC patient with documented disease progression at enrollment, and who does not qualify or have access to LDK378 through a clinical trial.
Age 18 years or older at the time of informed consent.
WHO performance status 0-Patients who have been pre-treated with an ALK inhibitor for locally advanced or metastatic NSCLC. Patients may be enrolled without prior exposure to an ALK inhibitor in countries where ALK inhibitors are not approved or available. Exposure to prior chemotherapy is not required.
Patients must have recovered from all toxicities related to prior anticancer therapies to grade ≤ 2 (CTCAE v 03), provided that concomitant medication is given prior to initiation of treatment with LDK37Exception to this criterion: patients with any grade of alopecia are allowed to enter the treatment.
The following laboratory criteria have been met:
1) Absolute neutrophil count (ANC) ≥ 5 x 109/L
2) Hemoglobin (Hgb) ≥ 8 g/dL
3) Platelets ≥ 75 x 109/L
4) Serum total bilirubin ≤ 5 x upper limit of normal (ULN), except for patients with Gilbert's syndrome who may be included if total bilirubin ≤ 0 x ULN and direct bilirubin ≤ 5 x ULN
5) Aspartate transaminase (AST) < 0 x ULN, except for patients with liver metastasis, who are only included if AST < 5 x ULN; alanine transaminase (ALT) < 0 x ULN, except for patients with liver metastasis, who are only included if ALT < 5 x ULN.
6) Calculated or measured creatinine clearance (CrCL) ≥ 30 mL/min
Patient must have the following laboratory values or have the following laboratory values corrected with supplements to be within normal limits at screening:
1) Potassium ≥ LLN
2) Magnesium ≥ LLN
3) Phosphorus ≥ LLN
4) Total calcium (corrected for serum albumin) ≥ LLN
Written informed consent for the ETP protocol must be obtained prior to any screening procedures. If consent cannot be expressed in writing, it must be formally documented and witnessed, ideally via an independent trusted witness.
1Willingness and ability to comply with scheduled visits, treatment plans, laboratory tests and other ETP procedures.","Patients with known hypersensitivity to any of the excipients of LDK378 (microcrystalline cellulose, mannitol, crospovidone, colloidal silicon dioxide and magnesium stearate).
Patients with symptomatic CNS metastases who are neurologically unstable or have required increasing doses of steroids within the 1 week prior to ETP entry to manage CNS symptoms.
Prior therapy with LDK37The patient is less than 5 half-lives from prior ALK inhibitor or targeted therapy (for adequate wash-out) without recovery from treatment toxicities to ≤ grade 1 or to their pretreatment levels.
Chemotherapy or an investigational therapy ≤ 3 weeks prior to starting the LDK378 treatment who have not recovered from side effects of such treatment toxicities to ≤ grade 2 or to their pre- treatment toxicities levels, with the exception of liver and cardiac functions which must be ≤ grade Patients who have received thoracic radiotherapy to lung fields ≤ 4 weeks prior to starting the study treatment or patients who have not recovered from radiotherapy-related toxicities. For all other anatomic sites (including radiotherapy to thoracic vertebrae and ribs) radiotherapy ≤ 2 weeks prior to starting the LDK378 treatment or have not recovered from radiotherapy-related toxicities. Palliative radiotherapy for bone lesions ≤ 2 weeks prior to starting LDK378 treatment is allowed.
Major surgery (e.g., intra-thoracic, intra-abdominal or intra-pelvic) within 4 weeks prior (2 weeks for resection of brain metastases) to starting LDK378 treatment or who have not recovered from side effects of such procedures. Video-assisted thoracic surgery (VATS) and mediastinoscopy will not be counted as major surgery, and patients can be enrolled in the ETP ≥ 2 weeks after the procedure.
Presence or history of a malignant disease other than NSCLC that has been diagnosed and/or required therapy within the past 3 years. Exceptions to this exclusion include the following: completely resected basal cell and squamous cell skin cancers, and completely resected carcinoma in situ of any type.
Patients with known history of extensive disseminated bilateral interstitial fibrosis or interstitial lung disease, including a history of pneumonitis, hypersensitivity pneumonitis, interstitial pneumonia, obliterative bronchiolitis, and clinically significant radiation pneumonitis (i.e. affecting activities of daily living or requiring therapeutic intervention).
1Patient has clinically significant, uncontrolled heart disease and/or recent cardiac event (within 6 months), such as:
1) unstable angina within 6 months prior to screening;
2) myocardial infarction within 6 months prior to screening;
3) history of documented congestive heart failure (New York Heart Association functional classification III-IV);
4) uncontrolled hypertension defined by a Systolic Blood Pressure (SBP) ≥ 160 mm Hg and/or Diastolic Blood Pressure (DBP) ≥ 100 mm Hg, with or without antihypertensive medication -
5) initiation or adjustment of antihypertensive medication(s) is allowed prior to screening;
6) ventricular arrhythmias; supraventricular and nodal arrhythmias not controlled with medication;
7) other cardiac arrhythmia not controlled with medication;
8) corrected QTc > 450 msec using Fridericia correction on the screening ECG
1Impaired GI function or GI disease that may alter absorption of LDK378 or inability to swallow up to five LDK378 capsules daily
1Ongoing GI adverse events > grade 2 (e.g. nausea, vomiting, or diarrhea) at the start of the ETP.
1Receiving medications that meet one of the following criteria and that cannot be discontinued at least 1 week prior to the start of treatment with LDK378 and for the duration of the ETP participation (see Appendix 1: Tables 14-1, Table 14-2, Table 14-3, and Table 14-4):
1) Medication with a known risk of prolonging the QT interval or inducing Torsades de Pointes (please refer to http://www.azcert.org/medical-pros/drug-lists/drug-lists.cfm)
2) Strong inhibitors or strong inducers of CYP3A4/5 (please refer to http://medicine.iupui.edu/"
302,"Male/female participants, who are at least 18 years of age on the day of signing informed consent with previously untreated, unresectable, pathologically confirmed NSCLC and Stage IIIA, IIIB or IIIC NSCLC by American Joint Committee on Cancer Version No evidence of metastatic disease by whole body positron emission tomography/computed tomography (PET/ CT) scan, diagnostic quality CT scan, and brain imaging.
Have measurable disease per RECIST 1 as assessed by the local site investigator/radiology.
Have provided tumor tissue sample (core, incisional, or excisional biopsy).
Have an Eastern Cooperative Oncology Group (ECOG) Performance Status of 0 or Have adequate pulmonary function test (PFT)
Have adequate organ function
A male participant must agree to use contraception through the end of treatment and refrain from donating sperm during this period.
A female participant is eligible to participate if she is not pregnant, not breastfeeding, and if participant is a woman of childbearing potential (WOCBP), agrees to follow the contraceptive guidance as provided in the protocol through the end of treatment.","A WOCBP who has a positive urine pregnancy test within 72 hours prior to treatment allocation
Has small cell lung cancer.
Has had documented weight loss >10% in the preceding 3 months.
Participants whose radiation treatment plans are likely to encompass a volume of whole lung receiving >20 Gy in total (V20) of more than 31% of lung volume.
Has received prior radiotherapy to the thorax, including radiotherapy to the esophagus or for breast cancer.
Has received prior therapy with an anti-PD-1, anti-PD-L1, or anti-PD-L2 agent (programmed cell death protein 1 [PD-1] and its ligands, programmed cell death ligand 1 (PD-L1) and programmed cell death ligand 2 [PD-L2]) or with an agent directed to another stimulatory or co-inhibitory T-cell receptor (eg, CTLA-4, OX-40, CD137).
Has received a live vaccine within 30 days prior to the first dose of study drug.
Has had an allogenic tissue/solid organ transplant.
Is currently participating in or has participated in a study of an investigational agent or has used an investigational device within 4 weeks prior to the first dose of study treatment.
1Has a diagnosis of immunodeficiency or is receiving chronic systemic steroid therapy (in dosing exceeding 10 mg prednisone daily or equivalent) or any other form of immunosuppressive therapy within 7 days prior the first dose of study drug.
1Has a known additional malignancy that is progressing or has required active treatment within the past 5 years.
1Has severe hypersensitivity (Grade 3 or higher) to pembrolizumab and/or any of its excipients.
1Has a known severe hypersensitivity (Grade 3 or higher) to any of the study chemotherapy agents and/or to any of their excipients.
1Has an active autoimmune disease that has required systemic treatment in past 2 years (ie, with use of disease modifying agents, corticosteroids or immunosuppressive drugs).
1Has a history of (non-infectious) pneumonitis/interstitial lung disease that required steroids or has current pneumonitis/interstitial lung disease that requires steroids.
1Has an active infection requiring systemic therapy.
1Has a known history of human immunodeficiency virus (HIV) infection. HIV testing is not required unless mandated by local health authority.
1Has a known history of hepatitis B (defined as hepatitis B surface antigen [HBsAg] reactive) or known active hepatitis C virus (defined as HCV RNA [qualitative] is detected) infection.
1Has a known history of active tuberculosis (TB; Bacillus tuberculosis).
2Has a history or current evidence of any condition, therapy, or laboratory abnormality that might confound the results of the study, interfere with the participant's participation for the full duration of the study, or is not in the best interest of the participant to participate, in the opinion of the treating investigator.
2Has a known psychiatric or substance abuse disorder that would interfere with cooperating with the requirements of the study.
2Is pregnant or breastfeeding or expecting to conceive or father children within the projected duration of the study through the end of treatment."
303,"Histologically or cytologically confirmed diagnosis of stage IIIB or IV NSCLC that carries an ALK rearrangement, as per the FDA-approved FISH assay (Abbott Molecular Inc.).
Age 18 years or older at the time of informed consent.
Patients must have NSCLC that has progressed during therapy with crizotinib or within 30 days of the last dose
Patients must have received 1-3 lines of cytotoxic chemotherapy (of which 1 must have been a platinum doublet) to treat their locally advanced or metastatic NSCLC
Patients must have a tumor tissue sample available, collected either at the time of diagnosis of NSCLC or any time since.
Patients must have recovered from all toxicities related to prior anticancer therapies to grade ≤ 2, except for patients with grade 2 nausea/vomiting and/or grade 2 diarrhea despite optimal supportive therapy who will not be allowed to participate in the study.","Patients with known hypersensitivity to any of the excipients of LDK37Patients with symptomatic central nervous system (CNS) metastases who are neurologically unstable or have required increasing doses of steroids within the 2 weeks prior to study entry to manage CNS symptoms.
History of carcinomatous meningitis.
Presence or history of a malignant disease other than NSCLC that has been diagnosed and/or required therapy within the past 3 years.
Clinically significant, uncontrolled heart disease
Systemic anti-cancer therapy given after the last dose of crizotinib and prior to starting study drug."
304,"Evidence of histologically or cytologically confirmed diagnosis of locally advanced or metastatic EGFRm (del 19 or L858R) NSCLC:
1) As detected by local EGFR mutation test that includes QIAGEN therascreen EGFR RGQ PCR kit, Roche cobas® EGFR Mutation Test or a sponsor-approved laboratory developed test that is validated in a CLIA laboratory (with tissue submitted for central laboratory confirmation via FDA approved QIAGEN therascreen RCQ PCR kit).
2) T790M disease as follows:
Phase 1 If a repeat biopsy was performed on the tumor following prior EGFR TKI therapy, then T790M positive disease must be present. Patients of unknown T790M status following EGFR TKI progression (ie, no post EGFR TKI progression biopsy was performed) are eligible.
In the PK sub-studies involving food/antacid and CYP3A4 effects, patients with EGFRm (del 19 or L858R) with any T790M status are eligible to enroll.
Studies at RP2D Cohort 1: Patients may have de novo T790M mutation, but it is not required. Cohort 2 and Cohort 3: Patients must have EGRFm (del 19 AND T790M or L858R AND T790M) NSCLC tumors as detected by local EGFR mutation test that includes QIAGEN Therascreen EGFR RGQ PCR kit, Roche cobas® EGFR Mutation Test or a sponsor-approved laboratory developed test that is validated in a CLIA laboratory, which will then be retrospectively confirmed by the central validated Thermo Fisher Scientific Oncomine Next Generation Sequencing (NGS) cancer panel test. Patients will also be enrolled if they solely test positive for EGFR (del 19 AND T790M or L858R AND T790M) NSCLC in plasma detected by local EGFR mutation test that includes QIAGEN Therascreen EGFR Plasma RGQ kit, Roche cobas® EGFR mutation test v2 (US-IVD) or Sysmex Inostic's OncoBEAMTM EGFR test or a sponsor-approved laboratory developed test that is validated in a CLIA laboratory, which will then be retrospectively confirmed by a validated cfDNA test as determined by the Sponsor.
3) Prior treatment for EGFRm NSCLC as follows:
Phase 1 Has progressed after at least 1 prior line of therapy including and EGFR TKI. Patients may have also received other lines of therapy before or after the EGFR TKI.
Studies at RP2D Cohort 1: no prior treatment for locally advanced or metastatic EGFRm NSCLC. Cohorts 2 and 3: must have had disease progression on treatment with an approved 1st or 2nd generation EGFR TKI. Patients who have been treated with a 3rd generation EGFR TKI are ineligible for this study. Patients may have had multiple lines of therapy; however, the last therapy prior to study treatment must have been an approved EGFR TKI and received within 6 weeks prior to study registration.
Patients must have at least one measurable lesion as defined by RECIST version 1 that has not been previously irradiated.
Tumor tissue available. Requesting formalin fixed paraffin embedded (FFPE) block or 15 unstained sections (5 micron). If a lesser amount of tissue is available, contact the sponsor. An archival specimen is acceptable for Phase 1; a de novo specimen is required for Cohorts 2, and 3 if the T790M status was confirmed by tissue biopsy.","For All Phases/Cohorts Previously diagnosed brain metastases, unless the patient has completed the treatment that is clinically indicated, if any, and has recovered from the acute effects of any treatment that was delivered prior to study registration, have discontinued corticosteroid treatment for these metastases prior to registration, and are neurologically stable.
Major surgery within 2 weeks prior to registration.
Radiation therapy, excluding stereotactic radiosurgery (SRS), within 1 week prior to registration.
Systemic anti cancer therapy within 2 weeks or 5 half-lives (whichever is longer) of registration excluding EGFR TKIs. Patients on EGFR TKIs must discontinue the agent for a minimum of:
1) 2 days prior to registration for erlotinib or afatinib, or 3 days for gefitinib if they will be part of the lead-in single dose PF-06747775 PK study (Phase 1 Dose Escalation Single and Multiple dose PK and ECG Assessments; Phase 1 Sildenafil at MTD; and Phase 1b/2 First-Line Single Agent). Please contact the Sponsor for direction for any other EGFR TKI.
2) 5 half-lives or 5 days (whichever is longer) prior to registration if they will be starting on continuous PF-06747775 dosing directly (Phase 1 PK sub-studies at RP2D; Phase 1b/2 Combination with Palbociclib; Phase 1b Combination with Avelumab).

Partial Exclusions for Cohort 2A and 2B (Palbociclib combo):
Prior treatment with a CDK 4/6 inhibitor.

Partial Exclusions for Cohort 3 (Avelumab combo):
Prior therapy with an anti PD 1, anti PD L1, anti PD L2, anti CD137, or anti cytotoxic T lymphocyte associated antigen 4 (CTLA 4) antibody (including ipilimumab, tremelimumab or any other antibody or drug specifically targeting T cell co stimulation or immune checkpoint pathways).
Active autoimmune disease that might deteriorate when receiving an immunostimulatory agent. Patients with diabetes type I, vitiligo, psoriasis, or hypo- or hyperthyroid disease not requiring immunosuppressive treatment are eligible
Use of immunosuppressive medication at time of randomization"
305,"Evidence of histologically confirmed, advanced NSCLC (stage IIIB/IV).
Evidence of T790M mutation to enroll in Cohort A.
Evidence of measurable disease by radiographic technique.
Adequate organ function.","Patients with T790M mutation who stopped any prior EGFR-directed therapy without evidence of disease progression.
Symptomatic brain metastases.
Uncontrolled or significant cardiovascular disease.
Pregnant or breastfeeding."
306,"Early stage IB-IIIA, operable non-small cell lung cancer, confirmed in tissue
Lung function capacity capable of tolerating the proposed lung surgery
Eastern Cooperative Oncology Group (ECOG) Performance Status of 0-1
Available tissue of primary lung tumor
Other protocol defined inclusion criteria could apply","Presence of locally advanced, inoperable or metastatic disease
Participants with active, known or suspected autoimmune disease
Prior treatment with any drug that targets T cell co-stimulations pathways (such as checkpoint inhibitors)
Other protocol defined exclusion criteria could apply"
307,"Aged at least 18 years. Patient from Asia Pacific will be enrolled only.
Locally advanced or metastatic NSCLC, not amenable to curative surgery or radiotherapy.
Radiological documentation of disease progression on the last treatment administered prior to enrolling in the study: following 1st line EGFR TKI treatment but who have not received further treatment OR following prior therapy with an EGFR TKI and a platinum-based doublet chemotherapy. Patients may have also received additional lines of treatment.
Documented EGFR mutation (at any time since the initial diagnosis of NSCLC) known to be associated with EGFR TKI sensitivity (including G719X, exon 19 deletion, L858R, L861Q).
Patients must have central confirmation of tumour T790M mutation positive status from a biopsy sample taken after confirmation of disease progression on the most recent treatment regimen.
World Health Organisation (WHO) performance status 0-1 with no deterioration over the previous 2 weeks and a minimum life expectancy of 12 weeks.
At least one lesion, not previously irradiated and not chosen for biopsy during the study screening period, that can be accurately measured at baseline as ≥10mm in the longest diameter (except lymph nodes which must have short axis ≥15mm) with computerised tomography (CT) or magnetic resonance imaging (MRI) which is suitable for accurate repeated measurements.
Females of child-bearing potential using contraception and must have a negative pregnancy test.","Treatment with an EGFR-TKI (eg, erlotinib, gefitinib, icotinib or afatinib) within 8 days or approximately 5x half-life of study entry; any cytotoxic chemotherapy, investigational agents or other anticancer drugs within 14 days of study entry; previous treatment with AZD9291 or a 3rd generation EGFR TKIs; Major surgery within 4 weeks of study entry; radiotherapy treatment to more than 30% of the bone marrow or with a wide field of radiation within 4 weeks of study entry; currently receiving treatment with potent inhibitors or inducers of CYP3AAny unresolved toxicities from prior therapy.
Unstable spinal cord compression or brain metastases.
Severe or uncontrolled systemic diseases, including uncontrolled hypertension and active bleeding diatheses or infection.
Refractory nausea and vomiting, chronic gastrointestinal diseases or bowel resection.
Cardiac disease.
Past medical history of interstitial lung disease, drug-induced interstitial lung disease, radiation pneumonitis which required steroid treatment, or any evidence of clinically active interstitial lung disease.
Inadequate bone marrow reserve or organ function."
308,"≥18 years
Written informed consent
Patients with histologically or cytologically documented chemotherapy-naïve locally advanced unresectable or metastatic ovarian/peritoneal/fallopian tube cancer, SCCHN, TNBC, SCLC, gastric cancer/GEJ, PDAC and ESCC.
ECOG performance status of 0 or 1
Patients must be considered suitable candidates for, and able to receive, first line chemotherapy for metastatic disease
At least 1 lesion, not previously irradiated, that can be accurately measured at baseline
No prior exposure to immune-mediated therapy
Adequate organ and marrow function as defined below","eceipt of any investigational anticancer therapy within 28 days or 5 halflives, whichever is longer, prior to the first dose of study treatment
Brain metastases or spinal cord compression unless asymptomatic or treated and stable off steroids and anti-convulsants for at least 1 month prior to study treatment
Any unresolved Grade ≥2 toxicity from previous anticancer therapy
Active or prior documented autoimmune or inflammatory disorders
Uncontrolled intercurrent illness, including, but not limited to, ongoing or active infection, symptomatic congestive heart failure, uncontrolled hypertension, unstable angina pectoris, cardiac arrhythmia, interstitial lung disease, or psychiatric illness/social situations that would limit compliance with study requirement, substantially increase risk of incurring AEs from study drugs, or compromise the ability of the patient to give written informed consent
Mean QT interval corrected for heart rate using Fridericia's formula (QTcF) ≥470 ms 2Active tuberculosis
Active infection including tuberculosis, hepatitis B, hepatitis C, or human immunodeficiency virus (HIV)"
309,"Provision of informed consent from the patient or next-of-kin for deceased patient at study entry, where this is mandated/allowed by local regulations
Aged at least 18 years. Patients from Japan aged at least 20 years
Patients who have been considered ineligible for entry into the AZD9291 AURA3 registration trial as a result of their tumour not harbouring the T790M mutation, according to the cobas EGFR test of a biopsy taken following the latest line of therapy, at a central testing lab participating in the D5160C00003 (AURA3) study.
Patients who have undertaken or plan to undertake 2nd-line therapy after screen failure for the AURA3 study.","Treatment with any of the following:
1) Prior treatment with more than one line of systemic treatment for advanced disease prior to failing screening assessments for AURA2) Major surgery (excluding placement of vascular access) within 4 weeks prior to failing screening assessments for AURA3) Palliative radiotherapy with a limited field of radiation within 1 week prior to enrolment, with the exception of patients receiving radiation to more than 30% of the bone marrow or with a wide field of radiation which must be completed within 4 weeks prior to failing screening assessments for AURA.
Spinal cord compression or brain metastases unless asymptomatic, stable and not requiring steroids for at least 4 weeks prior to failing screening assessments for AURA.
Involvement in the planning and conduct of the study (applies to AstraZeneca staff or staff at the study site).
Judgment by the physician that the patient should not participate in the study if the patient is unlikely to comply with study procedures, restrictions and requirements.
Patients who are known to be entering an interventional clinical study (blinded, randomized or open label clinical study) at the time of the enrolment into this study. However, inclusion in this study does not preclude participation in any other clinical study after enrolment. Patients who participate in clinical studies after enrolment into this study will be followed up to the extent possible as permitted by the sponsor of that clinical study.
Patients with an invalid or unsuccessful T790M mutation test result during screening for AURA"
310,"Histologically or cytologically confirmed diagnosis of metastatic NSCLC according to the 7th edition of the AJCC Cancer Staging Manual. In addition, the NSCLC must harbor an ALK rearrangement, as assessed using the FDA approved Vysis ALK Break Apart FISH Probe Kit (Abbott Molecular Inc.) test and scoring algorithm (including positivity criteria). If documentation of ALK rearrangement as described above was not locally available, a test to confirm ALK rearrangement was to be performed by a Novartis designated central laboratory. Patients had to wait for the central laboratory result of the ALK rearrangement status before initiating treatment with ceritinib
At least one extracranial measurable lesion as defined by RECIST A previously irradiated site lesion could only be counted as a target lesion if there was clear sign of progression since the irradiation.
Patients could or could not have neurological symptoms but must have been able to swallow and retain oral medication.
Patients had to be neurologically stable within at least 1 week prior to the first dose of study drug.
Patients could have received prior chemotherapy, crizotinib (other ALK inhibitors were not allowed), biologic therapy or other investigational agents.
Patients must have recovered from all toxicities related to prior anticancer therapies to grade ≤ 1 (CTCAE v 03). Patients with any grade of alopecia were allowed to enter the study.
Patient had life expectancy ≥ 6 weeks.
Patient had a WHO performance status 0-Patients in Arm 1 to 4 had to also meet the following inclusion criteria:
- Patients had to have active brain metastases from NSCLC, confirmed by Gadolinium-enhanced MRI without concomitant leptomeningeal carcinomatosis. Dose of steroids had to be stable for 5 days before the baseline brain MRI.

Patients in Arm 5 had to also meet the following inclusion criteria:
- Patients must have been diagnosed with leptomeningeal carcinomatosis.","Patients who needed whole brain radiation to control the brain metastases. Patients were not eligible unless treated brain lesions were progressive or new brain lesions were observed since the post whole brain radiation therapy MRI.
Planning of any brain local treatment (including but not limited to surgery, stereotactic radiosurgery, whole brain radiation, intrathecal chemotherapy) following the administration of the first dose of study drug.
Patient with a concurrent malignancy or history of a malignant disease other than NSCLC that had been diagnosed and/or required therapy within the past 3 years. Exceptions to this exclusion included the following: completely resected basal cell and squamous cell skin cancers, and completely resected carcinoma in situ of any type.
Patient had impairment of GI function or GI disease that could significantly alter the absorption of ceritinib (e.g., ulcerative diseases, uncontrolled nausea, vomiting, diarrhea, or malabsorption syndrome).
Patient was receiving unstable or increasing doses of corticosteroids.
Patient had other severe, acute, or chronic medical conditions including uncontrolled diabetes mellitus or psychiatric conditions or laboratory abnormalities that in the opinion of the investigator could increase the risk associated with study participation, or that could interfere with the interpretation of study results."
311,"Subjects must meet all of the following criteria to be included in this study:
Histologically or cytologically confirmed diagnosis of NSCLC.
Documented evidence of advanced NSCLC not amenable to surgery or radiotherapy.
Confirmation of the presence or absence of EGFR mutations prior to study enrolment in all subjects.
Subjects must have received at least two prior regimens for advanced NSCLC, which should have included a platinum-based regimen and, in all subjects with tumors harbouring EGFR mutations, an EGFR TKI.
Radiographic evidence of disease progression on, or after, the last anti-cancer regimen prior to study entry.
Presence of measurable disease.
ECOG performance status of 0, 1, or Adequate bone marrow
Adequate renal function.
1Adequate liver function.
1Female subjects of child-bearing potential must agree to use two forms of highly effective contraception.
1Male subjects and their female partners who are of child-bearing potential must agree to use two forms of highly effective contraception.
1Voluntary agreement to provide written informed consent and the willingness and ability to comply with all aspects of the protocol.
1Males or females aged at least 18 years (or any age greater than 18 years as determined by country legislation) at the time of informed consent.","Subjects who meet any of the following criteria will be excluded from this study:
Subjects who have received any anti-cancer therapy within 14 days, or five half-lives of the drug (whichever is longer), prior to randomization.
Subjects who have not recovered from toxicities as a result of prior anti-cancer therapy to less than Grade Subjects who have previously been treated, or participated in a study with eribulin, whether treated with eribulin or not. The TPC option must not include the same agent which the subject received in a prior regimen.
Peripheral neuropathy more than CTCAE Grade Significant cardiovascular impairment.
Subjects with a high probability of Long QT Syndrome, or QTc interval >500 ms.
Subjects with brain or subdural metastases are not eligible, unless the metastases are asymptomatic and do not require treatment or have been adequately treated by local therapy.
Any serious concomitant illness.
Known HIV positive, or have an infection requiring treatment.
1Any malignancy that required treatment, or has shown evidence of recurrence (except for NSCLC, non-melanoma skin cancer, or histologically confirmed complete excision of carcinoma in-situ) during the 5 years prior to study entry.
1Female subjects must not be pregnant, and must not be breastfeeding.
1Hypersensitivity to either HalB or HalB chemical derivatives or both, or to any of the excipients of the eribulin formulation."
312,"Eastern Cooperative Oncology Group (ECOG) performance status ≤1
Locally advanced stage IIIA, IIIB, or IIIC (T1-2 N2-3 M0, T3 N1-3 M0, or T4 N0-3 M0) histologically-confirmed NSCLC, according to 8th TNM classification
Newly diagnosed and treatment-naïve, with no prior local or systemic anticancer therapy given as primary therapy for locally advanced disease
Other protocol-defined inclusion criteria apply","Any condition including medical, emotional, psychiatric, or logistical that, in the opinion of the Investigator would preclude the patient from adhering to the protocol or would increase the risk associated with study participation
Active infection requiring systemic therapy within 14 days prior to randomization
History of organ or tissue transplant that requires systemic use of immune suppressive agents
Prior thoracic radiotherapy
Other protocol-defined exclusion criteria apply"
313,"patients undergoing elective lung lobectomy surgery.
the duration of one-lung ventilation is more than one hour.
subjects with more than twenty years old.","subjects with past history of pneumothorax, asthma
Age under 20, more than 70 years.
Patients with ischemic heart disease, valvular heart disease
patients with hemodynamic unstability"
