,Unnamed: 0,Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL,field1,inclusion_creteria,field2,exclusion_creteria
691,691,692,NCT04331054,Protective Role of Inhaled Steroids for Covid-19 Infection,INHASCO,Recruiting,No Results Available,Covid-19 Infection|Hospitalization in Respiratory Disease Department,Drug: 2: Usual practice + SYMBICORT RAPIHALER|Other: 1: Usual practice,"Time (in days) to clinical improvement within 30 days after randomization|Mortality rate at D30|Time (in days) from randomization to death|Number of days alive outside ICU within 30 days|Number of days alive free of invasive or non-invasive ventilation within 30 days|Number of days alive with oxygen therapy within 30 days|Maximal oxygen rate within 30 days|Difference between PaO2/FiO2 ratio at randomization and at Day 7 (or at the time of stopping oxygen therapy or discharge if occurs before Day 7)|Number of days alive outside hospital within 30 days|Use of antibiotics for respiratory (proved or suspected) infection within 30 days|Difference between CRP levels at randomization and at Day 7 (or at the time of discharge if occurs before Day 7)|Safety outcomes included events that occurred during treatment, serious adverse events, and premature discontinuation of treatment.",Assistance Publique - Hôpitaux de Paris,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 3,436.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,P 200394|2020-001306-35,"April 13, 2020","July 13, 2020","July 13, 2020","April 2, 2020",,"April 17, 2020","Hôpital Bichat - Service de Pneumologie, Paris, France",,https://ClinicalTrials.gov/show/NCT04331054,Inclusion criera :,"Patient ≥ 18 years old and ≤ 75 years old
Laboratory proved infection by COVID-19 by RT-PCR on a nasopharyngeal sample within 2 days
Hospitalization is required according to current local recommendations
Patient affiliated to a social security regime
Patient able to give free, informed and written consent",Exclusion criteria :,"Oxygen flow rate >8l/min at inclusion
Current treatment with any inhaled steroid (any other form of steroid administration does not exclude the patient)
Intensive care unit is required for the patient (based on investigator judgement)
Patient with cognitive impairment which do not guarantee proper use of the treatment by the patient himself
Pregnant (positive β-HCG at inclusion) or breastfeeding women
Participation in another interventional drug study involving human participants and concerning COVID-19 infection or being in the exclusion period of a previous study involving human participants
Contraindications to the treatments (history of hypersensitivity)
Patient admitted for isolation, for social reason or due to comorbidities without gravity sign
Long-term patient treated with digitalis, disopyramide, procainamide or phenothiazine that could lengthen the QT space"
556,556,557,NCT04362124,Performance Evaluation of BCG Vaccination in Healthcare Personnel to Reduce the Severity of SARS-COV-2 Infection,,Not yet recruiting,No Results Available,COVID-19,Biological: vaccine BCG|Other: Placebo,Primary outcome|Secondary outcome,Universidad de Antioquia,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 3,1000.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Supportive Care",PEC03_2020,April 2020,June 2021,November 2021,"April 24, 2020",,"April 28, 2020","Program for Research and Control in Tropical Diseases - PECET, Medellín, Antioquia, Colombia",,https://ClinicalTrials.gov/show/NCT04362124,Inclusion criteria,"Men and women
Between ≥18 and ≤ 65 years old
Healthcare workers (doctors, nurses and nursing assistants) from clinics and hospitals in Medellín, who are directly involved in the care of patients with COVID-19
A negative test for COVID-19 and being asymptomatic at baseline
Are able and willing to give signed informed consent (Subjects whom the investigator believes are able to understand and are willing to comply with the requirements of the protocol)",Exclusion Criteria,"Have a previous diagnosis (probable or confirmed) of COVID-19
Immunosuppression (pharmacological or clinical)
Are taking immunosuppressive medications
Pregnant or lactating women; or women of childbearing age who do not agree to take contraceptives during the month following vaccination.
Have received any live or replicative vaccine one month before the time of screening.
Permanent teleworking activity.
History of active tuberculosis
Currently are receiving Hydroxychloroquine, Chloroquine, Lopinavir/ritonavir, Tocilizumab, or Azithromycin.
Known or suspected history of hypersensitivity to vaccines.
Patients who do not wish to attend or who cannot keep up with the follow-up visits."
262,262,263,NCT04377477,COVID-19 Pneumonitis Low Dose Lung Radiotherapy (COLOR-19),COLOR-19,Recruiting,No Results Available,COVID-19,Radiation: Single fraction whole lung radiotherapy,Lenght of hospital stay (days)|Number of Intensive Care Unit admissions|Variation of the Brescia COVID-19 Respiratory Severity Scale after treatment|Occurence of CTCAE 5.0 adverse events|Variation of the chest X-ray radiological findings according to Brixia scoring system,Azienda Socio Sanitaria Territoriale degli Spedali Civili di Brescia,All,"50 Years and older   (Adult, Older Adult)",Not Applicable,30.0,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,NP 4097,"May 10, 2020","May 10, 2021","July 23, 2022","May 6, 2020",,"May 8, 2020","Radiation Oncology Department, ASST SpedaliCivili, Brescia, Brescia, Italy",,https://ClinicalTrials.gov/show/NCT04377477,Inclusion criteria,"Age ≥ 50 years
Patients with confirmed diagnosis of SARS-Cov2 infection by RT-PCR on nasopharyngeal swab and / or bronchoalveolar lavage (BAL)
Patient with Brescia Covid Respiratory Severity Scale (BCRSS) score 2-3
Suggestive picture finding for interstitial pneumonia on chest X-ray and / or chest CT (optional)

At least 3 of the following laboratory criteria:

PCR> 5 times the maximum limit of the normal value
Ferritin> 500 ng / ml
lactate dehydrogenase (LDH) > 2 times the maximum limit of the normal value
D-dimer> 3 times the maximum limit of the normal value
Aspartate aminotransferase (AST)> 2 times the maximum limit of the normal value
Total lymphocytes <1000 / ml


PCR> 5 times the maximum limit of the normal value
Ferritin> 500 ng / ml
lactate dehydrogenase (LDH) > 2 times the maximum limit of the normal value
D-dimer> 3 times the maximum limit of the normal value
Aspartate aminotransferase (AST)> 2 times the maximum limit of the normal value
Total lymphocytes <1000 / ml
Ability to understand and sign informed consent
Ability to acquire and maintain the set-up necessary for the delivery of radiotherapy treatment
A negative pregnancy test will be required of patients of childbearing age before starting radiotherapy treatment. Patients with reproductive potential of both sexes will have to agree to use an effective contraceptive method for at least 6 months from the date of treatment.",Exclusion Criteria:,"Age <50 years
Brescia Covid Respiratory Severity Scale (BCRSS) score greater than 3
Patients undergoing invasive mechanical ventilation
Patients with active autoimmune systemic diseases
Patients with active infections that are not responsive to current treatment
Patients with a positive pregnancy test
Impossibility to maintain the set-up necessary for radiotherapy treatment
Other concomitant treatments for COVID-19 do not represent an exclusion criterion, however they must be reported (specifying the starting date and dosage)"
698,698,699,NCT04393948,Lung Irradiation for COVID-19 Pneumonia,,Not yet recruiting,No Results Available,SARS-CoV 2,Radiation: Lung Irradiation,Proportion with clinical improvement on a 7-point ordinal scale on day 4 after randomization|Improvement or worsening on the 7-point ordinal scale over additional intervals|Rate and duration of use of supplemental oxygen|Rate and duration of fever > 38ºC|Rate and duration of invasive mechanical ventilation|Duration of hospitalization|Proportion of participants with overall survival up to 30 days after randomization|Improvement in radiographic findings related to infection/inflammation; comparisons include on study versus baseline scans and irradiated vs. unirradiated lung in subjects randomized to receive single lung irradiation|Treatment-emergent adverse events,Brigham and Women's Hospital,All,"40 Years and older   (Adult, Older Adult)",Not Applicable,36.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2020P001494,May 2020,October 2020,November 2020,"May 19, 2020",,"May 19, 2020",,,https://ClinicalTrials.gov/show/NCT04393948,Inclusion criteria,"Diagnosis of SARS-CoV-2 infection by RT-PCR or another approved laboratory test ≤ 3 days before enrollment or ≤ 14 days before enrollment with progressive disease suggestive of ongoing SARS-CoV-2 infection; retesting allowed
Current hospitalization for ≤ 14 days with SARS-CoV-2 infection at the time of enrollment
Use of supplemental oxygen or oxygen saturation ≤ 94% on room air
Age ≥ 40
May receive antiviral medication (e.g., remdesivir, lopinavir/ritonavir, oseltamivir, favipiravir), antibiotics (e.g., azithromycin), chloroquine, hydroxychloroquine, corticosteroids, statins, anticoagulation, antiplatelet agents (e.g., aspirin) and/or convalescent plasma from recovered individuals off study and/or on study if permitted by the other protocol",Exclusion criteria,"Prior or planned treatment with interleukin inhibitors (e.g., tocilizumab, canakinumab, sarilumab) or TNF-α inhibitors within 14 days of enrollment
Prior lobectomy or pneumonectomy
Prior thoracic radiotherapy with cumulative lung V20 > 15% to either lung within 1 year of enrollment, or any radiotherapy resulting in a maximum lung dose of 100 cGy or higher within 14 days of enrollment
Prior chemotherapy or other systemic therapy with potential for pulmonary toxicity or radiosensitization within 14 days or 5 half-lives, whichever is greater, of enrollment, e.g., bleomycin or gemcitabine
Prior cancer immunotherapy with an immune checkpoint inhibitor within 60 days of enrollment
Severe pre-existing heart disease, e.g., New York Heart Association (NYHA) functional class ≥ 3 congestive heart failure
History of bone marrow or solid organ transplantation
Known history of autoimmune collagen vascular disease, e.g., scleroderma
Known hereditary syndrome with increased sensitivity to ionizing radiation, e.g., ataxia-telangiectasia or Fanconi anemia
Pregnancy
Inability to be positioned supine and flat for radiation planning and delivery
Inability to provide informed consent or lack of an authorized representative who can provide informed consent"
827,827,828,NCT04333732,CROWN CORONATION: Chloroquine RepurpOsing to healthWorkers for Novel CORONAvirus mitigaTION,CROWN CORONA,Not yet recruiting,No Results Available,COVID 19,Drug: Low-dose chloroquine|Drug: Mid-dose chloroquine|Drug: High-dose chloroquine|Drug: Placebo,Symptomatic COVID-19|Peak severity of COVID-19 over the study period,Washington University School of Medicine|Bill and Melinda Gates Foundation,All,"18 Years and older   (Adult, Older Adult)",Phase 3,55000.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Prevention",202004099,May 2020,February 2021,February 2021,"April 3, 2020",,"May 7, 2020","Washington University School of Medicine, Saint Louis, Missouri, United States|Population Health Resarch Institute, Hamilton, Ontario, Canada|University of Toronto, Toronto, Ontario, Canada|St James's Hospital, Dublin, Leinster, Ireland|Universitas Academic Hospital, Bloemfontein, Free State, South Africa|Wits RHI, University of the Witwatersrand, Johannesburg, Gauteng, South Africa|Steve Biko Academic Hospital, Pretoria, Gauteng, South Africa|Tygerberg Hospital, Cape Town, Western Cape, South Africa|Groote Schuur Hospital, Cape Town, Western Cape, South Africa|University College London, London, United Kingdom|Levy Mwanawasa University Teaching Hospital, Lusaka, Zambia|Centre for Infectious Disease Research in Zambia [CIDRZ], Lusaka, Zambia",,https://ClinicalTrials.gov/show/NCT04333732,Inclusion criteria,"Volunteers without clinical evidence of COVID-19 infection aged 18 years and older.
Healthcare workers based in a primary, secondary or tertiary healthcare setting with a high risk of developing COVID-19 due to their potential exposure to patients with SARS-CoV-2 infection.
Must have a mobile phone and access to the internet for data collection purposes.
Participants who are willing and able to provide informed consent via an electronic consent process.",Exclusion criteria,"Weight outside range 50 kg - 120 kg (110 lbs - 265 lbs).
Prior enrolment into this or other COVID-19 interventional prevention or treatment trials (observational trials not excluded).
Self-reported or diagnosed current infection with SARS-CoV-2 or previous COVID-19 diagnosis.
Self-reported current acute respiratory infection.
Concurrent and/or recent involvement in other research or use of chloroquine/hydroxychloroquine or any other 4-aminoquinolone or another experimental investigational medicinal product that is likely to interfere with the study medication within three months of study enrolment.
Current use of antimalarial agents (lumefantrine, mefloquine, pyronaridine or amodiaquine) or any other drugs that may cause a dangerous drug interaction as listed in Appendix 3.
Self-reported known allergies to the IMP and excipients of IMP and placebo.
Self-reported presence or history of the following conditions: Retinopathy or retinal disease; Cardiomyopathy (structural or ischemic heart disease); Cardiac arrhythmia; known personal or family history of prolonged QTc; Psoriasis; Porphyria cutanea tarda; Epilepsy; Myasthenia gravis; Myopathy of any cause; Serious hepatic or renal disease; Electrolyte abnormalities; self-reported severe depression or suicidality; currently undergoing treatment for tuberculosis.
Self-reported current use of medication with known serious hepatotoxic effects or known interaction with chloroquine as listed in Appendix 3, including anti-TB treatment
Self-reported use of medications which prolong the QTc interval
Inability or unwillingness to be followed up for the trial period"
1139,1139,1140,NCT04362319,Burnout and Medical Errors in the Anaesthesiology Fraternity During Covid-19 Pandemic,,Not yet recruiting,No Results Available,"Burnout, Professional|Depression|Medical Errors|Covid-19",Diagnostic Test: Questionnaire forms,"Prevalence of burnout among anaesthesiology clinicians during Covid-19|Prevalence of depression risk among anaesthesiology clinicians during Covid-19|Prevalence of self-perceived medical errors among anaesthesiology clinicians during Covid-19|Association of burnout, depression and medical errors among anaesthesiology clinicians during Covid-19","University of Malaya|Ministry of Health, Malaysia",All,"18 Years and older   (Adult, Older Adult)",,88.0,Other,Observational,Observational Model: Cohort|Time Perspective: Cross-Sectional,54753,"May 1, 2020","May 31, 2020","June 30, 2020","April 24, 2020",,"April 24, 2020",,,https://ClinicalTrials.gov/show/NCT04362319,Inclusion criteria,,Exclusion criteria,"Subjects who refuse to participate
Subjects working in Department of Anaesthesiology and Intensive Care, Sungai Buloh Hospital, for less than 1 month"
1365,1365,1366,NCT04371302,Nursing Perspective on Burnout and Medical Errors in the Intensive Care Unit During Covid-19 Pandemic,,Not yet recruiting,No Results Available,"Burnout, Professional|Medical Errors|Depression",Diagnostic Test: Questionnaire,"Prevalence of burnout among ICU nurses during Covid-19|Prevalence of depression among ICU nurses during Covid-19|Prevalence of self-perceived medical errors among ICU nurses during Covid-19|Association of burnout, depression and medical errors among anaesthesiology clinicians during Covid-19",University of Malaya,All,"18 Years and older   (Adult, Older Adult)",,145.0,Other,Observational,Observational Model: Cohort|Time Perspective: Cross-Sectional,54843,"May 1, 2020","June 30, 2020","June 30, 2020","May 1, 2020",,"May 5, 2020",,,https://ClinicalTrials.gov/show/NCT04371302,Inclusion criteria,,Exclusion criteria,"Subjects who refuse to participate
Subjects working in ICU, Sungai Buloh Hospital, for less than 1 month"
669,669,670,NCT04328012,COVID MED Trial - Comparison Of Therapeutics for Hospitalized Patients Infected With SARS-CoV-2,COVIDMED,Recruiting,No Results Available,SARS-CoV-2 Infection,Drug: lopinavir/ritonavir|Drug: Hydroxychloroquine Sulfate|Drug: Losartan|Drug: Placebos,National Institute of Allergy and Infectious Diseases COVID-19 Ordinal Severity Scale (NCOSS)|Hospital length of stay (LOS)|Intensive care unit level LOS|Mechanical ventilation|survival,Bassett Healthcare,All,"18 Years and older   (Adult, Older Adult)",Phase 2|Phase 3,4000.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",1581969,"April 6, 2020","January 1, 2021","April 1, 2021","March 31, 2020",,"April 8, 2020","Bassett Medical Center, Cooperstown, New York, United States",,https://ClinicalTrials.gov/show/NCT04328012,Inclusion criteria,"Hospitalized patient
Laboratory confirmation of SARS-CoV-2 infection </= 72 hr prior to randomization
Randomization within 72 hr of hospital admission
Negative pregnancy test for reproductive age women
Patient or LAR able to provide informed consent","Exclusion criteria, general (all groups)","End stage renal disease (ESRD) NOT undergoing renal replacement therapy
Severe hepatic insufficiency (LFTs > 5 times the upper limit of normal or known ESLD or cirrhosis)
Nausea/vomiting or aspiration risk precluding oral medications unless can be given by gastric tube
Use of another SARS-CoV-2 directed medication empirically or within another clinical trial within the prior week
Pregnancy or breast feeding
Absence of dependable contraception in reproductive age women
Inability to obtain or declined informed consent"
1090,1090,1091,NCT04355611,Epidemiological Characteristics of COVID-19 in Patients With MS or NMO,COVISEP,Recruiting,No Results Available,Multiple Sclerosis|NMO Spectrum Disorder|COVID-19,Other: Evaluation of the epidemiological characteristics of coronavirus infection (SARS-CoV-2),Clinical severity|EDSS (Expanded Disability Status Scale),Assistance Publique - Hôpitaux de Paris,All,"Child, Adult, Older Adult",,2000.0,Other,Observational,Observational Model: Cohort|Time Perspective: Retrospective,APHP200482,"April 20, 2020","April 20, 2022","April 20, 2022","April 21, 2020",,"April 29, 2020","Hôpital Pitié Salpétrière, Paris, France",,https://ClinicalTrials.gov/show/NCT04355611,Inclusion criteria,"Patient with MS or NMO

at least one of the following four criteria:

COVID + biologically confirmed
Typical ground glass opacity on thoracic CT-scan in epidemic areas
Anosmia or ageusia of sudden onset in the absence of rhinitis or nasal obstruction
Typical symptoms (triad associating cough, fever, asthenia) in epidemic zone


COVID + biologically confirmed
Typical ground glass opacity on thoracic CT-scan in epidemic areas
Anosmia or ageusia of sudden onset in the absence of rhinitis or nasal obstruction
Typical symptoms (triad associating cough, fever, asthenia) in epidemic zone
Non opposition of the patient to the use of these data or non opposition of the confidential counselor / parent / relative (if the patient is unable to give his non-opposition, with collection as soon as possible of the non opposition of the patient) or non opposition of the 2 holders of parental authority (for minor patients)",Non-inclusion criteria,
1562,1562,1563,NCT04324736,"""COVID-19 and Diabetes Outcomes""",CORONADO,Recruiting,No Results Available,Coronavirus|Diabetes,Other: no interventional study,Assess the prevalence of severe forms among hospitalized patients with diabètes and COVID-19|describe the clinical and biological characteristics of hospitalized subjects with diabetes and COVID-19|describe the prognosis of hospitalized subjects with diabetes and COVID-19|describe the care management of hospitalized subjects with diabetes and COVID-19,Nantes University Hospital,All,"Child, Adult, Older Adult",,1000.0,Other,Observational,Observational Model: Cohort|Time Perspective: Other,RC20_0148,"March 10, 2020","April 10, 2020","May 8, 2020","March 27, 2020",,"April 14, 2020","CHU Nantes, Nantes, France",,https://ClinicalTrials.gov/show/NCT04324736,Inclusion criteria,"Patients admitted in a hospital center since 10th march 2020
Patients with COVID19 with biological proof (specific PCR) or with clinical and radiological diagnosis.
Patient with diabetes known before the admission
New onset diabetes discovered at admission (HbA1c value strictly greater than 6.5%)",exclusion criteria,"subjects opposed to the use of their data
minors, adults under guardianship, protected persons
subject having already been included in the CORONADO study (subject readmitted after discharge following the initial stay). Only the data of the first stay will be maintained."
1362,1362,1363,NCT04359875,A Phone-call With a Student/General Practitioner Team to Impact Morbidity of Chronic Patients During COVID-19 Containment,COVIQuest,Not yet recruiting,No Results Available,Cardiovascular Diseases|Mental Disorder,Behavioral: Phone-call screening and management by a medical student/general practitioner tandem,Hospitalization(s) at 1 month|Phone-call from the general practitioner (in the experimental group only)|Mortality at 1 month|Use of primary care|Use of secondary care|Number of prescriptions related to the chronic disease dispensed by the pharmacy|Number of hospitalization(s)|Time to hospitalization(s)|Hospitalization(s)' durations|Reasons for hospitalization(s)|Mortality at 6 months|Cardiovascular events (MACE)|Psychotropic drugs,"University Hospital, Tours",All,"18 Years to 110 Years   (Adult, Older Adult)",Not Applicable,22000.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research,2020-CD-COVIQuest (COVID-19),April 2020,June 2020,December 2020,"April 24, 2020",,"April 24, 2020","Dibao-Dina, Tours, France",,https://ClinicalTrials.gov/show/NCT04359875,Inclusion criteria (patient with a chronic cardiovascular) :,"Male or female
>= 70 years of age
Participants covered by or entitled to social security
With a chronic cardiovascular or mental disease as referenced in the long term illness (ALD) list (i.e. with an ALD n°1, 3, 5, 12, 13 for cardiovascular disease)
Followed regularly by their general practitioner (i.e. entered in the list of patients followed by a general practitioner by French Health Insurance
Participants who has given oral, express and informed consent.",Inclusion criteria (patient with a mental disease) :,"Male or female
>= 18 years of age
Participants covered by or entitled to social security
With a chronic cardiovascular or mental disease as referenced in the long term illness (ALD) list (i.e. with an ALD 23 for mental disease)
Followed regularly by their general practitioner (i.e. entered in the list of patients followed by a general practitioner by French Health Insurance
Participants who has given oral, express and informed consent"
213,213,214,NCT04379466,Effector and Regulatory T Cell Receptor Repertoire Analyses in Patients Affected by COVID-19,CovRep,Not yet recruiting,No Results Available,COVID-19,,A list of COVID-19 specific TCR sequences|One or more measures from peripheral blood immunophenotyping that is/are associated with COVID-19 outcome|Group of COVID-19 specific TCR sequences that is associated with COVID-19 outcome,Assistance Publique - Hôpitaux de Paris,All,"18 Years to 75 Years   (Adult, Older Adult)",,60.0,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,APHP200544|2020-A01245-34,May 2020,July 2020,November 2020,"May 7, 2020",,"May 7, 2020",,,https://ClinicalTrials.gov/show/NCT04379466,Inclusion criteria :,"Age≥18 and ≤75 years
Presenting a confirmed diagnosis of COVID-19 disease in accordance with WHO diagnostic criteria;
Good venous capital ;
Affiliation to a social security system;
Having declared his/her non-opposition to participation in research (for patients hospitalized in intensive care units who are not able to communicate, the non-opposition of a trusted person will be sought.)",Exclusion criteria :,"Still under the exclusion period from another biomedical study
Psychiatric illness or addiction that could interfere with the ability to comply with the requirements of the protocol or to give consent to participate in the study;
Patient benefiting from a legal protection measure"
846,846,847,NCT04335019,Interest of the Use of Pulmonary Ultrasound in the Referral of Patients With or Suspected COVID-19 +,eChoVid,Not yet recruiting,No Results Available,2019-nCoV (COVID-19)|Interstitial Pneumonia,Other: Pulmonary ultrasound,"Association of pulmonary lesions on ultrasound on D0 classified according to three stages of severity|Assessment of the agreement between a newly trained operator and an experienced operator of classification in one of the three stages of ultrasound gravity, by Cohen's kappa coefficient.|Estimate in patients who had a CT-scan on D0, the agreement in the evaluation of the severity of lung lesions via ultrasound vs. CT-scan, by Cohen's kappa coefficient|Measurement of the cumulative incidence of invasive mechanical ventilation and measurement of survival",Assistance Publique - Hôpitaux de Paris,All,"18 Years and older   (Adult, Older Adult)",,300.0,Other,Observational,Observational Model: Other|Time Perspective: Prospective,APHP200390|2020-A00768-31,April 2020,April 2020,May 2020,"April 6, 2020",,"April 6, 2020",,,https://ClinicalTrials.gov/show/NCT04335019,Inclusion criteria :,"> 18 years old
Suspected of COVID-19 infection or having a systematic COVID-19 screening",Exclusion criteria :,"Patients on whom the ultrasonographic examination is not feasible for technical reasons (morbid obesity, thoracic extensive subcutaneous emphysema, absorbent subcutaneous infiltrations, ...)
Patients with comorbidities justifying priority intensive care, not linked to the COVID-19 condition"
1125,1125,1126,NCT04356378,Long Term Physical Functional Limitations in Daily Living in SARS-CoV2 Infected Patients Hospitalized in the Acute Phase Then Requiring Rehabilitation,CAPACoV19,Not yet recruiting,No Results Available,Infection With Coronavirus SARS-CoV2,Other: Data record,Physical functional limitations,CHU de Reims,All,"18 Years and older   (Adult, Older Adult)",,300.0,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,PO20055,"May 1, 2020","September 1, 2021","February 1, 2022","April 22, 2020",,"April 22, 2020","Damien JOLLY, Reims, France",,https://ClinicalTrials.gov/show/NCT04356378,Inclusion criteria :,"patient infected with SARS-CoV2
in-patient hospitalization in the acute phase because SARS-CoV2 infection
patient requiring rehabilitation after SARS-CoV2 infection acute phase
patient adult, aged more than 18 years old
patient accepting to participate in the study",Exclusion criteria :,patient with cognitive disorder (Folstein Mini-Mental State Examination less than 22 on 30 points)
1369,1369,1370,NCT04327388,Sarilumab COVID-19,,Recruiting,No Results Available,Corona Virus Infection,Drug: Sarilumab SAR153191|Drug: Placebo,"Time to improvement of 2 points in clinical status assessment from baseline using the 7-point ordinal scale|Percent of patients alive at Day 29|Proportion of patients with one point improvement from baseline in clinical status assessment at days 4, 7, 15, 21, 29 using the 7-point ordinal scale|Mean change in the 7-point ordinal scale from baseline to Days 4, 7, 15, 21, and 29 (or until discharge)|Time to resolution of fever|Time to resolution of fever and improvement in oxygenation|Days with fever|Time to change in NEWS2 from baseline|Time to NEWS2 of <2 and maintained for 24 hours|Mean change from baseline to days 4, 7, 15, 21, and 29 in NEWS2|Time-to-improvement in oxygenation|Alive off supplemental oxygen at day 29|Days of hypoxemia|Days of supplemental oxygen use|Days of resting respiratory rate >24 breaths/min|Time to saturation ≥94% on room air|Ventilator free days in the first 28 days (to day 29)|The number of patients with Initiation of mechanical ventilation, non-invasive ventilation, or use of high flow nasal cannula|Proportion of patients requiring rescue medication during the 28-day period|The number of patients transferred to the ICU or the need to transfer to the ICU (if the ICU is not available)|Days of hospitalization among survivors|Incidence of serious adverse events|The incidence of major or opportunistic bacterial or fungal infections|The incidence of major or opportunistic bacterial or fungal infections in patients with grade 4 neutropenia|The incidence of hypersensitivity reactions, infusion reactions, gastrointestinal perforation|The number of patients with clinically significant laboratory abnormalities",Sanofi|Regeneron Pharmaceuticals,All,"18 Years and older   (Adult, Older Adult)",Phase 3,400.0,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",EFC16844|2020-001162-12,"March 28, 2020",July 2020,August 2020,"March 31, 2020",,"May 18, 2020","Investigational Site Number 1240001, Montreal, Canada|Investigational Site Number 1240002, Toronto, Canada|Investigational Site Number 1240003, Vancouver, Canada|Investigational Site Number 2500001, Bordeaux Cedex, France|Investigational Site Number 2500007, Clamart, France|Investigational Site Number 2500006, La Roche Sur Yon Cedex 9, France|Investigational Site Number 2500002, Nantes, France|Investigational Site Number 2500005, Paris Cedex 18, France|Investigational Site Number 2500003, Strasbourg, France|Investigational Site Number 2500004, Suresnes, France|Investigational Site Number 2760003, Bonn, Germany|Investigational Site Number 2760006, Braunschweig, Germany|Investigational Site Number 2760002, Essen, Germany|Investigational Site Number 2760004, Köln, Germany|Investigational Site Number 2760001, Münster, Germany|Investigational Site Number 3760003, Ashdod, Israel|Investigational Site Number 3760002, Jerusalem, Israel|Investigational Site Number 3760001, Ramat Gan, Israel|Investigational Site Number 3800005, Milano, Italy|Investigational Site Number 3800001, Milano, Italy|Investigational Site Number 3800002, Milano, Italy|Investigational Site Number 3800003, Modena, Italy|Investigational Site Number 3800004, Parma, Italy|Investigational Site Number 3800006, Rozzano, Italy|Investigational Site Number 3920002, Fuchu-Shi, Japan|Investigational Site Number 3920001, Kamakura-Shi, Japan|Investigational Site Number 6430003, Moscow, Russian Federation|Investigational Site Number 6430002, Moscow, Russian Federation|Investigational Site Number 6430001, Moscow, Russian Federation|Investigational Site Number 7240003, Barcelona, Spain|Investigational Site Number 7240004, Barcelona, Spain|Investigational Site Number 7240002, Madrid, Spain|Investigational Site Number 7240005, Madrid, Spain|Investigational Site Number 7240001, Madrid, Spain",,https://ClinicalTrials.gov/show/NCT04327388,Inclusion criteria :,,Exclusion criteria:,
