"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
980,"NCT04360707","Solid Organ Transplant Recipients With SARS-CoV-2 French Registry","TX-COVID","Recruiting","No Results Available","SARS-CoV-2",,"Clinical Presentation and Incidence of Covid-19 Infection in Different Cohorts of Solid Organ Transplant Patients","University Hospital, Strasbourg, France","All","1 Year and older   (Child, Adult, Older Adult)",,"300","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","7766","April 8, 2020","April 8, 2021","April 8, 2021","April 24, 2020",,"May 5, 2020","Service de Néphrologie et Transplantation, Strasbourg, France",,"https://ClinicalTrials.gov/show/NCT04360707"
981,"NCT04391179","Dipyridamole to Prevent Coronavirus Exacerbation of Respiratory Status (DICER) in COVID-19","DICER","Not yet recruiting","No Results Available","COVID|Corona Virus Infection|Covid-19|SARS-CoV-2 Infection","Drug: Dipyridamole 100 Milligram(mg)|Drug: Placebo oral tablet","Change in D-dimer|Global composite rank score","Yogendra Kanthi|University of Michigan","All","18 Years and older   (Adult, Older Adult)","Phase 2","80","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","HUM00179783","June 2020","December 2020","December 2020","May 18, 2020",,"May 18, 2020","University of Michigan, Ann Arbor, Michigan, United States",,"https://ClinicalTrials.gov/show/NCT04391179"
982,"NCT04341441","Will Hydroxychloroquine Impede or Prevent COVID-19","WHIP COVID-19","Recruiting","No Results Available","COVID-19|Coronavirus|Coronavirus Infections|SARS-CoV 2","Drug: Hydroxychloroquine - Daily Dosing|Drug: Hydroxychloroquine - Weekly Dosing|Other: Placebo oral tablet|Diagnostic Test: Monitoring Visit - Baseline|Diagnostic Test: Monitoring Visit - Week 4|Diagnostic Test: Monitoring Visit - Week 8|Other: Weekly Assessment","To determine if the use of hydroxychloroquine as preventive therapy decreases the rate of acquisition of SARS-CoV 2 infections and clinical COVID-19 disease in Study Participants for each randomized treatment arm as compared to placebo.|Determine the effect of hydroxychloroquine dose in the prevention of COVID-19 viremia and disease.|Assess the impact of chronic weight-based dosing of HCQ for COVID-19 prevention.|Comparison of the rate of SARS-CoV 2 infections as measured by IgM/IgG seroconversion in study participants receiving randomized HCQ versus placebo.|Compare the seroprevalence of SARS-CoV 2 IgM/IgG positive samples at study entry and study conclusion in all participants receiving HCQ compared to those receiving placebo.|Comparison of the emergence of clinical symptoms or COVID-19 diagnosis in participants presenting asymptomatically at study entry but identified as seropositive by serology at entry between the randomized treatment arms and comparator arm.|To examine the level of care needed by participants in each arm developing COVID19 as measured as requiring emergency room visit, hospitalization or able to stay home without hospital care.|Determine the safety and tolerability of HCQ dosing for preventive strategy against COVID-19 as measured by adverse events and serious adverse events.|To examine other clinical determinants contributing to the risk of SARS-CoV 2 infection in healthcare workers and first responders.|Examine the association between HCQ drug levels and development of COVID-19 symptoms or positive test results.|identify immunologic, serological and inflammatory markers associated with acquisition and response to COVID-19 in both HCQ and placebo Participants developing laboratory or clinical confirmed disease.","Henry Ford Health System","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 3","3000","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Prevention","1410401","April 7, 2020","June 30, 2020","April 30, 2021","April 10, 2020",,"May 7, 2020","Henry Ford Hospital, Detroit, Michigan, United States|Detroit Department of Transportation (DDOT), Detroit, Michigan, United States|Detroit Fire Department & Detroit EMS, Detroit, Michigan, United States|Detroit Police Department, Detroit, Michigan, United States","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/41/NCT04341441/Prot_001.pdf","https://ClinicalTrials.gov/show/NCT04341441"
983,"NCT04331574","Renin-Angiotensin System Inhibitors and COVID-19","SARS-RAS","Recruiting","No Results Available","COVID-19|Hypertension|Cardiovascular Diseases",,"Numbers of COVID-19 patients enrolled that use ACE inhibitors and/or Angiotensin Receptor Blockers (ARB) as antihypertensive agents|Numbers of COVID-19 patients enrolled with no symptoms, with moderate symptoms or with severe symptoms of pneumoni based on the WHO specification for ARDS that also used ACE inhibitors and/or Angiotensin Receptor Blockers (ARB) as antihypertensive agents|Number and type of anthropometric and clinical parameters that associate with COVID19 and COVID-19 severity","Societa Italiana dell'Ipertensione Arteriosa","All","18 Years to 120 Years   (Adult, Older Adult)",,"2000","Other","Observational","Observational Model: Case-Only|Time Perspective: Cross-Sectional","SARS-RAS","March 10, 2020","April 10, 2020","April 30, 2020","April 2, 2020",,"April 2, 2020","Spedali Civili di Brescia, Brescia, Italy",,"https://ClinicalTrials.gov/show/NCT04331574"
984,"NCT04340921","The Role of Adaptive Immunity in COVID-19 Associated Myocardial Injury",,"Recruiting","No Results Available","Cardiovascular Disease Acute|Cardiomyopathies|COVID","Biological: COVID-19 exposure","T-cell immunophenotype|Mortality|ITU admission|Myocardial injury","Barts & The London NHS Trust|Queen Mary University of London","All","18 Years and older   (Adult, Older Adult)",,"140","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","282289","May 14, 2020","November 10, 2021","November 10, 2021","April 10, 2020",,"May 18, 2020","Barts Health Nhs Trust, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04340921"
985,"NCT04268537","Immunoregulatory Therapy for 2019-nCoV",,"Not yet recruiting","No Results Available","2019 nCoV, PD-1","Drug: PD-1 blocking antibody+standard treatment|Drug: Thymosin+standard treatment|Other: standard treatment","lung injury score|absolute lymphocyte counts|serum level of CRP, PCT and IL-6|SOFA score|all cause mortality rate|ventilation free days|ICU free days","Southeast University, China","All","18 Years and older   (Adult, Older Adult)","Phase 2","120","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","2020YFC0841300-03","February 10, 2020","April 30, 2020","October 31, 2020","February 13, 2020",,"February 13, 2020",,,"https://ClinicalTrials.gov/show/NCT04268537"
986,"NCT04342195","Acquiring Convalescent Specimens for COVID-19 Antibodies",,"Recruiting","No Results Available","COVID-19|Coronavirus Infection|Corona Virus Infection","Procedure: Blood draw","Number of antibodies against coronaviruses isolated and identified from patient samples","Columbia University","All","18 Years to 65 Years   (Adult, Older Adult)",,"12","Other","Observational","Observational Model: Case-Only|Time Perspective: Cross-Sectional","AAAS9517","March 25, 2020","March 2021","March 2021","April 10, 2020",,"April 13, 2020","Columbia University Irving Medical Center/NYP, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04342195"
987,"NCT04367168","Colchicine Twice Daily During 10 Days as an Option for the Treatment of Symptoms Induced by Inflammation in Patients With Mild and Severe Coronavirus Disease","ColchiVID","Not yet recruiting","No Results Available","COVID","Drug: Colchicine|Drug: Placebo oral tablet","Number of patients with improvement in body temperature, myalgia, arthralgia, total lymphocyte count, D-dimer, fibrinogen and ferritin levels|Progression to severe disease","Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 2","174","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","337420-21-1","April 27, 2020","April 27, 2021","April 27, 2021","April 29, 2020",,"May 4, 2020",,,"https://ClinicalTrials.gov/show/NCT04367168"
988,"NCT04365517","The Effect of Sitagliptin Treatment in COVID-19 Positive Diabetic Patients","SIDIACO","Not yet recruiting","No Results Available","Covid19|Diabetes Mellitus, Type 2|CKD","Drug: Sitagliptin","Time for clinical improvement|Clinical parameter of acute lung disease|Biochemical parameter of acute lung disease|Clinical parameters of acute lung disease|Dipeptilpeptidase 4 expression in biological samples|Cytokine-inflammatory profile|Glycemic variability","University of Milan","All","18 Years and older   (Adult, Older Adult)","Phase 3","170","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Sacco FBF","May 29, 2020","June 30, 2020","December 30, 2020","April 28, 2020",,"May 12, 2020","ASST FBF Sacco, Milan, Italy",,"https://ClinicalTrials.gov/show/NCT04365517"
989,"NCT04339686","Multicentric Retrospective Observational Study of Thoracic Scanner Performance in COVID Screening.",,"Recruiting","No Results Available","The Gold Standard for Current SARS CoV2 Detection is RT-PCR","Diagnostic Test: Thoracic CT Scan","Diagnostic performance of chest CT in screening for pulmonary lesions in clinical suspicions of COVID.|Compare the diagnostic performance of chest CT and RT-PCR in COVID 19 at the initial consultation (screening).","Poitiers University Hospital","All","18 Years to 100 Years   (Adult, Older Adult)",,"56000","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","POWER-COVID_CT","April 20, 2020","September 2020","November 2020","April 9, 2020",,"April 28, 2020","Chu de Poitiers, Poitiers, France",,"https://ClinicalTrials.gov/show/NCT04339686"
990,"NCT04385901","Long Term Functional Outcomes of COVID-19 Patients Treated by Rehabilitation Services viaTelehealth",,"Not yet recruiting","No Results Available","SARS-CoV 2|SARS Pneumonia","Behavioral: Therapy Intervention","Change in 6 Minute Walk Test|Change in Short Form 35 (SF-36) Questionnaire|Change in Strength testing|Change in Peak Flow Meter Test","University of Missouri-Columbia","All","18 Years and older   (Adult, Older Adult)","Not Applicable","72","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Treatment","COVID19Recovery","May 19, 2020","April 19, 2022","April 19, 2022","May 13, 2020",,"May 14, 2020","Missouri Orthopedic Institute, Columbia, Missouri, United States",,"https://ClinicalTrials.gov/show/NCT04385901"
991,"NCT04383678","Outcome of COVID-19 Patients After Extracorporeal Membrane Oxygenation for Acute Respiratory Distress Syndrome",,"Recruiting","No Results Available","COVID-19|Extracorporeal Membrane Oxygenation Complication|Acute Respiratory Distress Syndrome","Device: Extracorporeal membrane oxygenation","In-hospital mortality|Death on ECMO|Stroke|Blood stream infection|Lung complications requiring surgical treatment|Blood transfusion|Acute kidney injury|Duration of mechanical ventilation|Deep vein thrombosis|Pulmonary embolism|Length of ICU stay|Length of hospital stay|Death after hospital discharge","Helsinki University Central Hospital","All","Child, Adult, Older Adult",,"200","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","COVID-19 ECMO","March 1, 2020","December 31, 2020","December 31, 2020","May 12, 2020",,"May 21, 2020","Helsinki University Hospital, Helsinki, Finland|University Hospital Jean Minjoz, Besançon, France|Nancy University Hospital, Nancy, France|Henri Mondon Unoversity Hospital, Paris, France|Robert Debré University Hospital, Reims, France|Hamburg University Heart Center, Hamburg, Germany|Münster University Hospital, Münster, Germany|S. Orsola Hospital, Bologna, Italy|Lecco Hospital, Lecco, Italy|Karolinska University Hospital, Stockholm, Sweden|University Hospitals of Leicester, Leicester, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04383678"
992,"NCT04339998","Assessment of Exam Findings in Coronavirus Disease 2019 (COVID-19) With Point-of-Care Ultrasonography (POCUS)",,"Recruiting","No Results Available","Coronavirus Infection|COVID|Covid-19|SARS-CoV-2","Diagnostic Test: Point-of-Care Ultrasonography (POCUS)","POCUS Score - Lungs|POCUS Score - Heart","University of Minnesota","All","18 Years and older   (Adult, Older Adult)",,"500","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","STUDY00009429","April 15, 2020","October 2020","October 2020","April 9, 2020",,"May 12, 2020","University of Minnesota Medical Center (UMMC), Minneapolis, Minnesota, United States|M Health Fairview Bethesda Hospital, Saint Paul, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT04339998"
993,"NCT04345601","Mesenchymal Stromal Cells for the Treatment of SARS-CoV-2 Induced Acute Respiratory Failure (COVID-19 Disease)",,"Not yet recruiting","No Results Available","Sars-CoV2|Acute Respiratory Distress Syndrome|COVID-19","Genetic: Mesenchymal Stromal Cells","Incidence of unexpected adverse events|Improved oxygen saturations ≥93%|Decrease in oxygen supplementation by non-invasive or invasive interventions|Frequency of progression to mechanical ventilation or ECMO|Duration of mechanical ventilation|Duration of ICU stay|Duration of hospital stay|All-cause mortality at day 28","Baylor College of Medicine|Center for Cell and Gene Therapy, Baylor College of Medicine|The Methodist Hospital System","All","18 Years and older   (Adult, Older Adult)","Early Phase 1","30","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","H-47561 MSC for COVID-19","May 2020","February 2022","February 2022","April 14, 2020",,"April 27, 2020","Houston Methodist Hospital, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04345601"
994,"NCT04316299","Acute Kidney Injury in Patients Hospitalized With COVID-19",,"Completed","No Results Available","COVID-19|Acute Kidney Injury|Kidney Function",,"Rate of Acute Kidney Injury|Rate of Death|the length of hospital stay","Zhenhua Zen|Nanfang Hospital of Southern Medical University","All","18 Years and older   (Adult, Older Adult)",,"287","Other","Observational","Observational Model: Case-Control|Time Perspective: Retrospective","hkyy2020-005 AKI","February 26, 2020","February 28, 2020","March 8, 2020","March 20, 2020",,"March 30, 2020","Hankou Hospital, Wuhan, Hubei, China",,"https://ClinicalTrials.gov/show/NCT04316299"
995,"NCT04350086","Use of Dexmedetomidine in Light to Moderate Sedation in the Patient in the Palliative Situation of a Sars-cov-2 / COVID-19 Infection","PRODEX","Not yet recruiting","No Results Available","COVID-19 Infection|Sars-cov-2|Respiratory Failure|Palliative Situation","Drug: Treatment with Dexmedetomidine","Efficacy of mild to moderate palliative sedation induced by Dexmedetomidine.|Overall survival of patients on Dexmedetomidine|Daily analgesic effect of Dexmedetomidine|Other sedative pharmacological agents|Average dosage required for Dexmedetomidine to achieve mild to moderate sedation","University Hospital, Limoges","All","18 Years and older   (Adult, Older Adult)","Phase 4","10","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","87RI20_0011 (PRODEX)","April 20, 2020","November 20, 2020","November 20, 2020","April 16, 2020",,"April 20, 2020","University Hospital, Limoges, France",,"https://ClinicalTrials.gov/show/NCT04350086"
996,"NCT04310865","Yinhu Qingwen Granula for the Treatment of Severe CoVID-19",,"Suspended","No Results Available","COVID-19|Severe Pneumonia|Chinese Medicine","Drug: Yinhu Qingwen Granula|Drug: Yin Hu Qing Wen Granula(low does)|Other: standard medical treatment","changes in the ratio of PaO2 to FiO2 from baseline|PaO2|blood oxygen saturation (SpO2)|clinical status rating on the 7-point ordinal scale|Time to Clinical Improvement (TTCI)|Duration (hours) of non-invasive mechanical ventilation or high-flow nasal catheter oxygen inhalation use|Duration (hours) of invasive mechanical ventilation use|Duration (hours) of extracorporeal membrane oxygenation (ECMO) use|Duration (days) of Oxygen use|The proportion of the patients reporting 2019-nCoV RT-PCR negativity at Day 10 after treatment|The counts/percentage of Lymphocyte|Time to hospital discharge with clinical recovery from the randomisation|The incidence of critical status conversion in 30 days|All-cause mortality within 30 days|Frequency of severe adverse drug events","Zhong Wang|Wuhan Leishenshan Hospital|The First Affiliated Hospital of Dalian Medical University|Tanshan People's Hospital|North China University of Science and Technology Affiliated Hospital|Jizhong Energy Fengfeng Group Hospital|China Academy of Chinese Medical Sciences","All","18 Years and older   (Adult, Older Adult)","Phase 2|Phase 3","116","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","YHQW-Severe-V2.0","November 2020","March 30, 2021","June 30, 2021","March 17, 2020",,"May 11, 2020","Wuhan No.7 Hospital/Jizhong Energy Fengfeng Group Hospital, Wuhan, Hubei, China|Wuhan No.7 Hospital/North China University of Science and Technology Affiliated Hospital, Wuhan, Hubei, China|Zhongnan Hospital of Wuhan University/Tanshan People's Hospital, Wuhan, Hubei, China|Wuhan Leishenshan (Thunder God Mountain) Hospital/The First Affiliated Hospital of Dalian Medical University, Wuhan, Hubei, China",,"https://ClinicalTrials.gov/show/NCT04310865"
997,"NCT04379661","SUNLIGHT Study: Online Support Groups for MS to Address COVID-19",,"Recruiting","No Results Available","MS (Multiple Sclerosis)|COVID-19|Support Groups","Behavioral: Online support Group","Rate of completion|Rate of adherence|Score on the State Trait Anxiety Inventory (STAI)|Score on the Personal Health Questionnaire Depression Scale (PHQ-8)","Columbia University","All","18 Years and older   (Adult, Older Adult)","Not Applicable","52","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","AAAS9939","April 3, 2020","April 2021","April 2021","May 7, 2020",,"May 7, 2020","Columbia University Medical Center, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04379661"
998,"NCT04392232","A Study of COVID 19 Convalescent Plasma in High Risk Patients With COVID 19 Infection",,"Recruiting","No Results Available","Coronavirus|COVID-19|Convalescent Plasma","Drug: Convalescent Plasma","Survival Rate","TriHealth Inc.","All","16 Years and older   (Child, Adult, Older Adult)","Phase 2","100","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","20-045","May 5, 2020","December 31, 2020","December 31, 2020","May 18, 2020",,"May 20, 2020","Good Samaritan Hospital, Cincinnati, Ohio, United States|Bethesda North Hospital, Cincinnati, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT04392232"
999,"NCT04387279","The Impact of COVID-19 on the Health Care Utilization of Inflammatory Bowel Disease",,"Recruiting","No Results Available","COVID-19|Perception, Self|Facilities and Services Utilization","Other: Interview","Patient's perception of COVID-19 and medical use patterns|Exacerbation of symptoms","Keimyung University Dongsan Medical Center|Yeungnam University College of Medicine","All","18 Years and older   (Adult, Older Adult)",,"800","Other","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","2020-04-070","April 24, 2020","March 30, 2021","March 30, 2021","May 13, 2020",,"May 13, 2020","KeimyungUniversity, Daegu, Jung-gu, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT04387279"
1000,"NCT04336345","Outcomes of Patients With COVID-19 in the Intensive Care Unit","MexCOVID-19","Recruiting","No Results Available","Coronavirus Infections|COVID-19|Viral Pneumonia Human Coronavirus",,"Hospital mortality|Length of stay in the intensive care unit","Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran","All","18 Years and older   (Adult, Older Adult)",,"150","Other","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","3336","April 1, 2020","April 30, 2020","May 30, 2020","April 7, 2020",,"April 24, 2020","Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán, Mexico City, Mexico|All centres from Mexico willing to contribute are Welcome., Mexico, Mexico",,"https://ClinicalTrials.gov/show/NCT04336345"
1001,"NCT04351854","Registry for Clinical Presentation and Management of Patients With COVID-19 in the Emergency Room","ReCovER","Not yet recruiting","No Results Available","Corona Virus Infection|SARS-CoV 2","Other: Retrospective data collection","Identification of risk factors present at the earliest stage of hospital care (i.e. in the ED) that warrant hospital admission.|Determination of the course of the disease (days since onset of symptoms, nature of symptoms, e.g. fever, chills, headache) and the state at which patients present to the ED|Identification of the ratio of patients with mild or moderate to severe disease","University of Cologne","All","Child, Adult, Older Adult",,"500","Other","Observational","Observational Model: Case-Control|Time Perspective: Retrospective","ReCovER","April 20, 2020","December 31, 2025","August 31, 2026","April 17, 2020",,"April 22, 2020","University Hospital of Cologne, Cologne, Germany",,"https://ClinicalTrials.gov/show/NCT04351854"
1002,"NCT04355728","Use of UC-MSCs for COVID-19 Patients",,"Recruiting","No Results Available","Corona Virus Infection|ARDS|ARDS, Human|Acute Respiratory Distress Syndrome|COVID-19","Biological: Umbilical Cord Mesenchymal Stem Cells|Other: Standard of Care","Incidence of pre-specified infusion associated adverse events|Incidence of Severe Adverse Events|Survival rate after 90 days post first infusion|Ventilator-Free Days|Change in Oxygenation Index (OI)|Plat-PEEP|Sequential Organ Failure Assessment (SOFA) Scores|Small Identification Test (SIT) scores|Troponin I levels|C-Reactive Protein levels|Arachidonic Acid (AA)/Eicosapentaenoic Acid (EPA) Ratio|D-dimer levels|25-Hydroxy Vitamin D levels|Alloantibodies levels|Blood white cell count|Platelets count","Camillo Ricordi|University of Miami","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","24","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","20200370","April 25, 2020","December 31, 2020","May 1, 2021","April 21, 2020",,"April 28, 2020","Diabetes Research Institute, University of Miami Miller School of Medicine, Miami, Florida, United States",,"https://ClinicalTrials.gov/show/NCT04355728"
1003,"NCT04347226","Anti-Interleukin-8 (Anti-IL-8) for Patients With COVID-19",,"Recruiting","No Results Available","Solid Tumor|Sars-CoV2|Hematological Malignancy","Drug: BMS-986253","Time to Improvement in the 7-point ordinal scale|Time to Death|Time to Intubation|Proportion of patients requiring ICU admission|Percentage Rate of Mortality at 1 month","Matthew Dallos|Bristol-Myers Squibb|Columbia University","All","18 Years and older   (Adult, Older Adult)","Phase 2","138","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","AAAS9881","April 16, 2020","September 2021","September 2022","April 15, 2020",,"May 1, 2020","Columbia University Irving Medical Center, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04347226"
1004,"NCT04378829","Platelet Count, Platelet, Mean Platelet Volume and Platelet Distribution Width in COVID-19",,"Not yet recruiting","No Results Available","Covid-19|Mean Platelet Volume|Platelet Destruction","Diagnostic Test: Platelet count, platelet, mean platelet volume and platelet distribution Width in COVID-19","Change in PDW and MPV parameters","Konya Training and Research Hospital","All","Child, Adult, Older Adult",,"40","Other","Observational","Observational Model: Case-Only|Time Perspective: Retrospective","COVID-19","May 4, 2020","May 11, 2020","May 13, 2020","May 7, 2020",,"May 7, 2020",,,"https://ClinicalTrials.gov/show/NCT04378829"
1005,"NCT04344327","Early Risk Stratification of Patient Hospitalized for SARS-CoV2 Infection: Critical COVID-19 France CCF","CCF","Completed","No Results Available","Infection Viral|Infection, Hospital|COVID",,"Death rate|Transfer to intensive care unit|Ventilation analysis|Construction of a predictive score for COVID-19 severe form","French Cardiology Society|Institut National de la Santé Et de la Recherche Médicale, France","All","18 Years and older   (Adult, Older Adult)",,"2878","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","2020-02","April 10, 2020","April 21, 2020","April 21, 2020","April 14, 2020",,"April 28, 2020","CHU d'Amiens, Amiens, France|CHU Annecy, Annecy, France|CHU de Bordeaux, Bordeaux, France|CHU de Caen, Caen, France|Cotentin hospital, Cherbourg, France|CHU Dijon, Dijon, France|Elbeuf Louviers Val de Reuil, Elbeuf, France|CHU de Fréjus / Saint-Raphael, Fréjus, France|Lille Catholic Institute Hospital Group, Lille, Lille, France|CHU de Lyon, Lyon, France|APHM, Marseille, France|Jacques Cartier Private Hospital, Massy, Massy, France|CHR d'Orléans, Orléans, France|Bichat (APHP), Paris, France|Georges Pompidou European Hospital (AP-HP), Paris, France|Institut Mutualiste Montsouris, Paris, Paris, France|CHU de Reims, Reims, France|CHU de Rouen, Rouen, France|CHU Saint Etienne, Saint-Étienne, France|CHU de Strasbourg, Strasbourg, France|CHU de Toulouse, Toulouse, France|Saint Gatien hospital, Tours, France|CHU de Nancy, Vandœuvre-lès-Nancy, France",,"https://ClinicalTrials.gov/show/NCT04344327"
1006,"NCT04365764","Effect of Treatments in Patients Hospitalized for Severe COVID-19 Pneumonia: a Multicenter Cohort Study",,"Recruiting","No Results Available","Covid-19|ARDS|Pneumonia",,"Composite of death and mechanical ventilation|Death|Mechanical ventilation|World Health Organization score","Groupe Hospitalier Pitie-Salpetriere|Centre Hospitalier Intercommunal Robert Ballanger|Centre Hospitalier Intercommunal Montfermeil-Le Raincy|CMC Ambroise Paré","All","Child, Adult, Older Adult",,"400","Other","Observational","Observational Model: Case-Control|Time Perspective: Cross-Sectional","CIC1421-20-06","March 14, 2020","May 31, 2020","December 31, 2020","April 28, 2020",,"May 20, 2020","Centre Hospitalier Intercommunal Robert Ballanger, Aulnay-sous-Bois, France|Centre Hospitalier Intercommunal Le Raincy-Montfermeil, Montfermeil, France",,"https://ClinicalTrials.gov/show/NCT04365764"
1007,"NCT04364009","Anakinra for COVID-19 Respiratory Symptoms","ANACONDA","Recruiting","No Results Available","COVID-19 Infection|ANAKINRA Treatment|Optimized Standard of Care (oSOC)","Drug: Anakinra plus oSOC|Drug: oSOC","Treatment success|OMS progression scale (on a 7 point ordinal scale)|Overall survival|Time to ICU admission|Time to ventilatory support|Change in National Early Warning Score (NEW)from baseline to Day 3, Day 10, Day 14 and Day 28|Change in inflammatory parameter|Hospital length of stay|ICU parameter|Number of participants with treatment-related adverse events as assessed by CTCAE v4.0|Predictors of efficacy of Anakinra","University Hospital, Tours|INSERM CIC-P 1415, University Hospital Center of Tours|Swedish Orphan Biovitrum (SOBI)","All","18 Years and older   (Adult, Older Adult)","Phase 3","240","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ANACONDA-COVID-19|2020-001734-36|DR200111","April 27, 2020","September 10, 2020","September 24, 2020","April 27, 2020",,"May 14, 2020","CHRU de TOURS, Tours, France",,"https://ClinicalTrials.gov/show/NCT04364009"
1008,"NCT04364737","Convalescent Plasma to Limit COVID-19 Complications in Hospitalized Patients",,"Recruiting","No Results Available","COVID-19|Coronavirus|Coronavirus Infection","Biological: Convalescent Plasma|Biological: Lactated ringer's solution or sterile saline","Percentage of subjects reporting each severity rating on WHO ordinal scale for clinical improvement","NYU Langone Health|Albert Einstein College of Medicine","All","18 Years and older   (Adult, Older Adult)","Phase 2","300","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","20-00541","April 17, 2020","January 31, 2023","April 30, 2023","April 28, 2020",,"May 7, 2020","Montefiore Medical Center, Bronx, New York, United States|NYU Langone Health, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04364737"
1009,"NCT04339881","NOsocomial Dissemination Risk of SARS-Cov2","NODS-Cov2","Not yet recruiting","No Results Available","Sars-CoV2",,"Understanding the dissemination of SARS Cov2 in hospital|Optimizing hospital strategies to prevent transmission to caregivers and not infected hospitalized patients with SARSCov2","Assistance Publique - Hôpitaux de Paris","All","Child, Adult, Older Adult",,"100","Other","Observational","Observational Model: Other|Time Perspective: Prospective","APHP200417","April 13, 2020","May 15, 2020","June 15, 2020","April 9, 2020",,"April 9, 2020",,,"https://ClinicalTrials.gov/show/NCT04339881"
1010,"NCT04349982","ICU Trial in Critical Ill COVID‐19 Patients","POINT-C","Recruiting","No Results Available","Risk Factor, Cardiovascular|Covid19|Critical Illness|Course Illness","Diagnostic Test: Biomarker (TropT, Myoglobin, CK, CK-MB, LDH, D-dimer, CRP, PCT)","ICU CV risk and Biomarker (e.g. Troponin)|CV risk and Outcome during ICU stay","Medical University of Graz","All","18 Years and older   (Adult, Older Adult)",,"50","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","250320","April 8, 2020","June 30, 2020","July 31, 2020","April 16, 2020",,"April 16, 2020","Medical University of Graz, Graz, Styria, Austria",,"https://ClinicalTrials.gov/show/NCT04349982"
