"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
836,"Safety and Immunogenicity Study of 2019-nCoV Vaccine (mRNA-1273) for Prophylaxis of SARS-CoV-2 Infection (COVID-19)","Recruiting","No Results Available","COVID-19|COVID-19 Immunisation","Biological: mRNA-1273","Emory Vaccine Center - The Hope Clinic, Decatur, Georgia, United States|National Institutes of Health - Clinical Center - Vaccine Research Center Clinical Trials Program, Bethesda, Maryland, United States|Kaiser Permanente Washington Health Research Institute - Vaccines and Infectious Diseases, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT04283461"
837,"A Trial Investigating the Safety and Effects of Four BNT162 Vaccines Against COVID-2019 in Healthy Adults","Recruiting","No Results Available","Infections, Respiratory|Virus Diseases|Infection Viral|Vaccine Adverse Reaction|RNA Virus Infections","Biological: BNT162a1|Biological: BNT162b1|Biological: BNT162b2|Biological: BNT162c2","Contract Research Organization, Berlin, Germany","https://ClinicalTrials.gov/show/NCT04380701"
838,"PK/PD and Steady State Efficacy Study of Bilastine Compared With Placebo Given Orally in the Treatment of the Symptoms of SAR in an EEC Model (5-arm)","Completed","No Results Available","Seasonal Allergic Rhinitis|Hay Fever|Rhinoconjunctivitis","Drug: Bilastine|Drug: Placebo","Allied Research International - Cetero Research, Mississauga, Ontario, Canada","https://ClinicalTrials.gov/show/NCT00574210"
839,"Efficacy of Hydroxychloroquine (HCQ) as Post Exposure Prophylaxis (PEP) for Prevention of COVID-19","Recruiting","No Results Available","CoVID-19","Drug: HCQ|Other: Standard therapy","Post Graduate Institute of Medical Education and Research (PGIMER), Chandigarh, India|Post Graduate Institute of Medical Education and Research, Chandigarh, India","https://ClinicalTrials.gov/show/NCT04408456"
840,"COVID-19 Biological Samples Collection","Recruiting","No Results Available","Infection Viral","Other: biological samples collection","Centre Hospitalier Universitaire de Bordeaux, Bordeaux, France","https://ClinicalTrials.gov/show/NCT04332016"
841,"A Study to Assess the Virus RNA, and miRNA Levels Related to Viral Infection, and Inflammatory Response in Tears of Patients Affected by COVID-19 Disease","Not yet recruiting","No Results Available","COVID|Conjunctivitis","Diagnostic Test: Schirmer Test I","Ophtalmology Clinic, G.d'Annunzio University, Chieti, Italy","https://ClinicalTrials.gov/show/NCT04346160"
842,"SAR231893-LPS15497- ""Dupilumab Effect on Sleep in AD Patients""","Recruiting","No Results Available","Atopic Dermatitis","Drug: DUPILUMAB|Drug: PLACEBO","Investigational Site Number 8400012, North Little Rock, Arkansas, United States|Investigational Site Number 8400002, Redwood City, California, United States|Investigational Site Number 8400001, Rolling Hills Estates, California, United States|Investigational Site Number 8400005, Denver, Colorado, United States|Investigational Site Number 8400003, Sarasota, Florida, United States|Investigational Site Number 8400007, Medford, Oregon, United States|Investigational Site Number 8400008, Charleston, South Carolina, United States|Investigational Site Number 0360003, Carlton, Australia|Investigational Site Number 0360001, Kogarah, Australia|Investigational Site Number 0360007, Woolloongabba, Australia|Investigational Site Number 2760001, Göttingen, Germany|Investigational Site Number 3760005, Afula, Israel|Investigational Site Number 3760003, Jerusalem, Israel|Investigational Site Number 3760001, Rehovot, Israel|Investigational Site Number 7560001, Bern, Switzerland|Investigational Site Number 7840002, Abu Dhabi, United Arab Emirates","https://ClinicalTrials.gov/show/NCT04033367"
843,"Study of the Immunity of Patients With Lung Cancer and COVID-19 Infection","Recruiting","No Results Available","Lung Cancer|COVID|Corona Virus Infection","Diagnostic Test: IgG test","Hospital General Universitario de Elche, Elche, Alicante, Spain|ICO Hospitalet, Hospitalet de Llobregat, Barcelona, Spain|Hospital Universitario Insular de Gran canaria, Las Palmas De Gran Canaria, Gran Canaria, Spain|Hospital Universitario de Torrejón, Torrejón, Madrid, Spain|Hospital Universitario Son Llàtzer, Palma De Mallorca, Mallorca, Spain|Complexo Hospitalario Universitario de Vigo, Vigo, Pontevedra, Spain|Complejo Hospitalario de A Coruña, A Coruña, Spain|Hospital La Esperanza, A Coruña, Spain|Hospital Universitario de Ferrol, A Coruña, Spain|Hospital Virgen de los Lirios, Alicante, Spain|Hospital Germans Trias i Pujol, Badalona, Spain|Hospital Clínic de Barcelona, Barcelona, Spain|Hospital de la Santa Creu i Sant Pau, Barcelona, Spain|Hospital Universitari Dexeus, Barcelona, Spain|Hospital Universitario Cruces, Bilbao, Spain|Hospital Universitario de Burgos, Burgos, Spain|Hospital Universitario Puerto Real, Cadiz, Spain|Hospital General La Mancha Centro, Ciudad Real, Spain|Hospital Universitario San Pedro de Alcántara, Cáceres, Spain|Hospital Universitario Puerta del Mar, Cádiz, Spain|Hospital Universitario Reina Sofía, Córdoba, Spain|Hospital Universitario de Vinalopó, Elche, Spain|Hospital Dr. Josep Trueta, Girona, Spain|Hospital Universitario de Guadalajara, Guadalajara, Spain|Complejo Hospitalario de Jaén, Jaén, Spain|Complejo Asistencial Universitario de León, León, Spain|Hospital universitari Arnau de Vilanova, Lleida, Spain|Hospital San Pedro, Logroño, Spain|Hospital Universitario Lucus Augusti, Lugo, Spain|Hospital Universitario Fundación Jiménez Díaz, Madrid, Spain|Hospital Universitario 12 de Octubre, Madrid, Spain|Hospital Universitario La Paz, Madrid, Spain|Hospital Puerta de Hierro, Madrid, Spain|Clínica Universidad de Navarra, Madrid, Spain|Hospital de Sanchinarro, Madrid, Spain|Hospital General Universitario Gregorio Marañón, Madrid, Spain|Hospital Severo Ochoa, Madrid, Spain|Hospital Universitario de Móstoles, Madrid, Spain|Hospital Universitario del Henares, Madrid, Spain|Hospital Universitario Fundación Alcorcón, Madrid, Spain|Hospital Universitario Infanta Cristina, Madrid, Spain|Hospital Universitario Infanta Leonor, Madrid, Spain|Hospital Universitario Infanta Sofía, Madrid, Spain|Hospital Universitario Príncipe de Asturias, Madrid, Spain|Hospital General Universitario de Málaga, Málaga, Spain|Hospital Costa del Sol, Málaga, Spain|Complejo Hospitalario Universitario de Ourense Santa María Nai, Ourense, Spain|Hospital Universitario Son Espases, Palma De Mallorca, Spain|Clínica Universidad de Navarra, Pamplona, Spain|Complejo Hospitalario de Navarra, Pamplona, Spain|Hospital Universitario Sant Joan de Reus, Reus, Spain|Hospital Universitario de Salamanca, Salamanca, Spain|Hospital Universitario de Canarias, Santa Cruz De Tenerife, Spain|Hospital General de Segovia, Segovia, Spain|Hospital Virgen del Rocío, Sevilla, Spain|Hospital Sant Pau i Santa Tecla, Tarragona, Spain|Hospital Universitario Nuestra Señora de Candelaria, Tenerife, Spain|Hospital Universitari i Politécnic La Fe, Valencia, Spain|Hospital Clínico Universitario de Valencia, Valencia, Spain|Hospital General de Valencia, Valencia, Spain|Hospital General de Valencia, Valencia, Spain|Hospital Arnau de Vilanova, Valencia, Spain|Hospital de Manises, Valencia, Spain|Hospital General Universitario de Valencia, Valencia, Spain|Hospital Lluís Alcanyís, Valencia, Spain|Hospital Universitario Dr. Peset, Valencia, Spain|Hospital Clínico Universitario de Valladolid, Valladolid, Spain|Hospital Universitario Río Ortega, Valladolid, Spain|Complejo Hospitalario Zamora, Zamora, Spain","https://ClinicalTrials.gov/show/NCT04407143"
844,"Proactive Prophylaxis With Azithromycin and hydroxyChloroquine in Hospitalized Patients With COVID-19","Recruiting","No Results Available","Virus Diseases|Infection Viral|Corona Virus Infection","Drug: Azithromycin|Drug: Hydroxychloroquine|Drug: Placebo oral tablet","Aalborg Sygehus, Aalborg, Denmark|Bispebjerg Hospital, Copenhagen, Denmark|Herlev-Gentofte Hospital, Copenhagen, Denmark|Hvidovre Hospital, Copenhagen, Denmark|Nordsjællands Hospital, Hillerød, Denmark|Odense Universitetshospital, Odense, Denmark|Roskilde Sygehus, Roskilde, Denmark|Slagelse Sygehus, Slagelse, Denmark","https://ClinicalTrials.gov/show/NCT04322396"
845,"Aggrenox To Treat Acute Covid-19","Not yet recruiting","No Results Available","Covid19","Drug: Dipyridamole ER 200mg/ Aspirin 25mg orally/enterally|Other: Standard of care",,"https://ClinicalTrials.gov/show/NCT04410328"
846,"Evaluation of SARS-CoV-2 (COVID-19) Antibody-containing Plasma thErapy","Recruiting","No Results Available","COVID|Infectious Disease","Biological: High-Titer COVID-19 Convalescent Plasma (HT-CCP)|Biological: Standard Plasma (FFP)","Brigham and Women's Hospital, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT04361253"
847,"To Assess the Safety and Efficacy of Ciclesonide, Applied as a Nasal Spray in the Treatment of Seasonal Allergic Rhinitis (BY9010/M1-401)","Completed","No Results Available","Rhinitis, Allergic, Seasonal|Hay Fever","Drug: Ciclesonide|Drug: Placebo","Altana/Nycomed, Austin, Texas, United States|Altana/Nycomed, Austin, Texas, United States|Altana/Nycomed, Kerrville, Texas, United States|Altana/Nycomed, New Braunfels, Texas, United States|Altana/Nycomed, San Antonio, Texas, United States|Altana/Nycomed, San Antonio, Texas, United States","https://ClinicalTrials.gov/show/NCT00659841"
848,"Study Using the Environmental Exposure Unit (EEU) to Assess the Onset of Action of Ciclesonide, Applied as a Nasal Spray in the Treatment of Seasonal Allergic Rhinitis (BY9010/M1-407)","Completed","No Results Available","Rhinitis, Allergic, Seasonal|Hay Fever","Drug: Ciclesonide|Drug: Placebo","Altana/Nycomed, Kingston, Ontario, Canada","https://ClinicalTrials.gov/show/NCT00659503"
849,"Study Using the Environmental Exposure Chamber (EEC) to Assess the Onset of Action of Ciclesonide, Applied as a Nasal Spray in Treatment of Seasonal Allergic Rhinitis (BY9010/M1-406)","Completed","No Results Available","Rhinitis, Allergic, Seasonal|Hay Fever","Drug: Ciclesonide|Drug: Placebo","Altana/Nycomed, Mississauga, Ontario, Canada","https://ClinicalTrials.gov/show/NCT00659594"
850,"A Study of Ciclesonide Nasal Spray in Patients 18 Years and Older With Seasonal Allergic Rhinitis (BY9010/M1-413)","Completed","No Results Available","Rhinitis, Allergic, Seasonal|Hay Fever","Drug: Ciclesonide Nasal Spray","Altana Pharma/Nycomed, Ontario, Mississauga, Canada","https://ClinicalTrials.gov/show/NCT00384475"
851,"Nitric Oxide Gas Inhalation Therapy for Mild/Moderate COVID-19","Recruiting","No Results Available","Coronavirus Infections|Pneumonia, Viral|Acute Respiratory Distress Syndrome","Drug: Nitric Oxide","Louisiana State University Health Shreveport, Shreveport, Louisiana, United States|Massachusetts General Hospital, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT04305457"
852,"A Study for Efficacy and Safety of Live Biotherapeutic MRx4DP0004 to Treat COVID-19","Not yet recruiting","No Results Available","COVID-19","Drug: MRx-4DP0004|Drug: Placebo",,"https://ClinicalTrials.gov/show/NCT04363372"
853,"Lung Ultrasound for Assessment of Patients With Moderate to Severe Covid-19","Recruiting","No Results Available","Corona Virus Infection|Virus Diseases|Coronaviridae Infections",,"Falun Hospital, Falun, Sweden","https://ClinicalTrials.gov/show/NCT04412551"
854,"Genetics of COVID-19 Susceptibility and Manifestations","Recruiting","No Results Available","COVID-19|Coronavirus 2019",,"National Institutes of Health Clinical Center, Bethesda, Maryland, United States","https://ClinicalTrials.gov/show/NCT04371432"
855,"Sequential Oxygen Therapy Strategy for Patients With COVID-19","Recruiting","No Results Available","Coronavirus Disease-2019","Other: oxygen treatment","Henan Provincial People's Hospital, Zhengzhou, Henan, China","https://ClinicalTrials.gov/show/NCT04312100"
856,"Detection of COVID-19 in Saliva Collection","Recruiting","No Results Available","Sars-CoV2|RT-PCR|Saliva Collection|Nasopharyngeal Sample",,"CHU Amiens, Amiens, France","https://ClinicalTrials.gov/show/NCT04386551"
857,"Compare the Effect of INS Alone and Added LTRA in Treatment of SAR","Completed","No Results Available","Allergic Rhinitis","Drug: budesonide","Beijing Tongren Hospital, Beijing, Beijing, China","https://ClinicalTrials.gov/show/NCT04077892"
858,"Study of Nesvacumab (REGN910/ SAR307746)","Completed","No Results Available","Solid Tumors","Drug: nesvacumab (REGN910/ SAR307746)","San Francisco, California, United States|San Antonio, Texas, United States|Toronto, Ontario, Canada","https://ClinicalTrials.gov/show/NCT01271972"
859,"Long-term Impact of Infection With Novel Coronavirus (COVID-19)","Recruiting","No Results Available","COVID",,"Zuckerberg San Francisco General Hospital (ZSFG), San Francisco, California, United States","https://ClinicalTrials.gov/show/NCT04362150"
860,"Treatment of Moderate to Severe Coronavirus Disease (COVID-19) in Hospitalized Patients","Recruiting","No Results Available","COVID-19","Drug: Lopinavir/ritonavir|Drug: Hydroxychloroquine sulfate|Drug: Baricitinib (janus kinase inhibitor)","Nova Scotia Health Authority, Halifax, Nova Scotia, Canada","https://ClinicalTrials.gov/show/NCT04321993"
861,"Efficacy and Safety of Tocilizumab in the Treatment of SARS-Cov-2 Related Pneumonia","Recruiting","No Results Available","COVID-19 Pneumonia",,"Ospedale San Salvatore, L'Aquila, Italy","https://ClinicalTrials.gov/show/NCT04332913"
862,"Convalescent Plasma as Therapy for Covid-19 Severe SARS-CoV-2 Disease (CONCOVID Study)","Recruiting","No Results Available","COVID-19","Biological: Convalescent plasma","Erasmus Medical Center, Rotterdam, Zuid-Holland, Netherlands|NoordWest Ziekenhuisgroep, Alkmaar, Netherlands|Onze Lieve Vrouwen Gasthuis, Amsterdam, Netherlands|Rijnstate Ziekenhuis, Arnhem, Netherlands|Reinier de Graaf Gasthuis, Delft, Netherlands|Haaglanden Medisch Centrum, Den Haag, Netherlands|Catharina Ziekenhuis, Eindhoven, Netherlands|Medisch Spectrum Twente, Enschede, Netherlands|Groene Hart Ziekenhuis, Gouda, Netherlands|Martini Hospital, Groningen, Netherlands|Spaarna Gasthuis, Haarlem, Netherlands|Alrijne Ziekenhuis, Leiderdorp, Netherlands|Sint Antonius Ziekenhuis, Nieuwegein, Netherlands|Canisius-Wilhelmina Hospital, Nijmegen, Netherlands|Maasstad Ziekenhuis, Rotterdam, Netherlands|ZorgSaam Hospital, Terneuzen, Netherlands|Bernhoven Hospital, Uden, Netherlands|VieCuri, Venlo, Netherlands","https://ClinicalTrials.gov/show/NCT04342182"
863,"Investigating Anosmia and Ageusia in COVID-19 Adult Patients in Saudi Arabia","Not yet recruiting","No Results Available","Anosmia|Ageusia|Covid19|Corona Virus Infection","Other: NHANES smell and taste tests","Princess Nourah Bint Abdulrahman Univeristy, Riyadh, Central, Saudi Arabia","https://ClinicalTrials.gov/show/NCT04388618"
864,"Study of Efficacy and Safety of DV890 in Patients With COVID-19 Pneumonia","Recruiting","No Results Available","COVID 19 Pneumonia, Impaired Respiratory Function","Drug: DFV890|Drug: Standard of Care (SoC)","Novartis Investigative Site, Copenhagen, Denmark|Novartis Investigative Site, Hvidovre, Denmark|Novartis Investigative Site, Heidelberg, Baden-Württemberg, Germany|Novartis Investigative Site, Regensburg, Bavaria, Germany|Novartis Investigative Site, Bonn, Germany|Novartis Investigative Site, Hannover, Germany|Novartis Investigative Site, Wuerzburg, Germany|Novartis Investigative Site, Budapest, Hungary|Novartis Investigative Site, Budapest, Hungary","https://ClinicalTrials.gov/show/NCT04382053"
865,"Study to Assess the Safety and Bioeffect of REGN1033 (SAR391786)","Completed","No Results Available","Healthy Volunteers","Drug: REGN1033 (SAR391786)|Other: placebo","Gainesville, Florida, United States|Orlando, Florida, United States|Boston, Massachusetts, United States|St. Louis, Missouri, United States|Athens, Ohio, United States","https://ClinicalTrials.gov/show/NCT01910220"
866,"Closed-Loop Oxygen to Verify That Healthcare Workers Interventions Decrease During SARS-CoV-2 Pneumonia (COVID-19)","Recruiting","No Results Available","Coronavirus|Pneumonia|Oxygen Toxicity","Other: Standard administration of oxygen flow|Device: Automated oxygen administration - FreeO2","Institut universitaire de cardiologie et de pneumologie de Québec - Université Laval, Quebec, Canada","https://ClinicalTrials.gov/show/NCT04320056"
867,"Nitric Oxide Gas Inhalation Therapy for Mild/Moderate COVID19 Infection","Withdrawn","No Results Available","Coronavirus Infections|Pneumonia, Viral|Dyspnea","Drug: Nitric Oxide",,"https://ClinicalTrials.gov/show/NCT04290858"
868,"Study of the Safety and Efficacy of REGN1033 (SAR391786) in Patients With Sarcopenia","Completed","No Results Available","Sarcopenia","Drug: REGN1033 (SAR391786)|Drug: placebo","Anniston, Alabama, United States|Phoenix, Arizona, United States|El Cajon, California, United States|Garden Grove, California, United States|Laguna Hills, California, United States|San Francisco, California, United States|Walnut Creek, California, United States|Aurora, Colorado, United States|Gainesville, Florida, United States|Jacksonville, Florida, United States|Jupiter, Florida, United States|Orlando, Florida, United States|South Miami, Florida, United States|Chicago, Illinois, United States|Baton Rouge, Louisiana, United States|College Park, Maryland, United States|Elkridge, Maryland, United States|Boston, Massachusetts, United States|Edina, Minnesota, United States|Omaha, Nebraska, United States|Albuquerque, New Mexico, United States|High Point, North Carolina, United States|Winston-Salem, North Carolina, United States|Athens, Ohio, United States|Columbus, Ohio, United States|Duncansville, Pennsylvania, United States|Spartanburg, South Carolina, United States|Dallas, Texas, United States|Plano, Texas, United States|San Antonio, Texas, United States|Salt Lake City, Utah, United States|West Jordan, Utah, United States|Richmond, Virginia, United States|Limoges, France|Montpellier Cedex 5, France|Saint-Etienne Cedex 2, France|Toulouse, France|Amsterdam, Netherlands|Leeuwarden, Netherlands|Noord-Brabant, Netherlands|Albacete, Spain|L'Hospitalet de Llobregat, Spain|Madrid, Spain","https://ClinicalTrials.gov/show/NCT01963598"
869,"Study of the Safety and Tolerability of REGN2222(SAR438584) in Healthy Adult Volunteers","Completed","No Results Available","Healthy Volunteers","Drug: REGN2222(SAR438584)|Drug: placebo","Daytona Beach, Florida, United States|Evansville, Indiana, United States|Dallas, Texas, United States","https://ClinicalTrials.gov/show/NCT02121080"
870,"To Evaluate Sarilumab - SAR153191 (REGN88) - Auto-injector Device In Patients With Rheumatoid Arthritis","Completed","Has Results","RA","Drug: Sarilumab|Device: Auto-Injector Device (AID)|Device: Pre-filled Syringe (PFS)|Drug: Methotrexate|Drug: Sulfasalazine|Drug: Leflunomide|Drug: Hydroxychloroquine","Investigational Site Number 840152, Huntsville, Alabama, United States|Investigational Site Number 840221, Peoria, Arizona, United States|Investigational Site Number 840226, Roseville, California, United States|Investigational Site Number 840223, Boulder, Colorado, United States|Investigational Site Number 840229, Miami, Florida, United States|Investigational Site Number 840236, Orlando, Florida, United States|Investigational Site Number 840155, Palm Harbor, Florida, United States|Investigational Site Number 840220, South Miami, Florida, United States|Investigational Site Number 840202, Hagerstown, Maryland, United States|Investigational Site Number 840232, Flint, Michigan, United States|Investigational Site Number 840233, Kalamazoo, Michigan, United States|Investigational Site Number 840037, Tupelo, Mississippi, United States|Investigational Site Number 840112, Lincoln, Nebraska, United States|Investigational Site Number 840039, Albany, New York, United States|Investigational Site Number 840224, Cincinnati, Ohio, United States|Investigational Site Number 840002, Oklahoma City, Oklahoma, United States|Investigational Site Number 840065, Tulsa, Oklahoma, United States|Investigational Site Number 840009, Duncansville, Pennsylvania, United States|Investigational Site Number 840062, Reading, Pennsylvania, United States|Investigational Site Number 840016, North Charleston, South Carolina, United States|Investigational Site Number 840025, Jackson, Tennessee, United States|Investigational Site Number 840038, Austin, Texas, United States|Investigational Site Number 840230, Carrollton, Texas, United States|Investigational Site Number 840001, Dallas, Texas, United States|Investigational Site Number 840020, Houston, Texas, United States|Investigational Site Number 840239, Houston, Texas, United States|Investigational Site Number 840241, Houston, Texas, United States|Investigational Site Number 840242, Houston, Texas, United States|Investigational Site Number 840069, Lubbock, Texas, United States|Investigational Site Number 840074, Mesquite, Texas, United States|Investigational Site Number 840237, Plano, Texas, United States|Investigational Site Number 152005, Osorno, Chile|Investigational Site Number 152050, Santiago, Chile|Investigational Site Number 152014, Talca, Chile|Investigational Site Number 152007, Viña Del Mar, Chile|Investigational Site Number 484002, Guadalajara, Mexico|Investigational Site Number 484004, Merida, Mexico|Investigational Site Number 484005, Monterrey, Mexico|Investigational Site Number 616002, Bialystok, Poland|Investigational Site Number 616005, Lublin, Poland|Investigational Site Number 616004, Warszawa, Poland|Investigational Site Number 616017, Warszawa, Poland|Investigational Site Number 616012, Wroclaw, Poland|Investigational Site Number 643006, Kemerovo, Russian Federation|Investigational Site Number 643020, Moscow, Russian Federation|Investigational Site Number 643001, Moscow, Russian Federation|Investigational Site Number 643008, Saint-Petersburg, Russian Federation|Investigational Site Number 710050, Bellville, South Africa|Investigational Site Number 710011, Cape Town, South Africa|Investigational Site Number 710007, Cape Town, South Africa|Investigational Site Number 710003, Durban, South Africa|Investigational Site Number 710001, Johannesburg, South Africa|Investigational Site Number 710051, Port Elizabeth, South Africa","https://ClinicalTrials.gov/show/NCT02057250"
871,"Reducing COVID-19 Related Hospital Admission in Elderly by BCG Vaccination","Active, not recruiting","No Results Available","COVID-19","Biological: BCG vaccine|Biological: Placebo","Radboud University, Nijmegen, Gelderland, Netherlands|UMC Utrecht, Utrecht, Netherlands","https://ClinicalTrials.gov/show/NCT04417335"
872,"Study to Assess the Safety and Tolerability of Multiple Ascending Doses of REGN1033 (SAR391786)","Completed","No Results Available","Healthy Volunteers","Drug: REGN1033 (SAR391786)|Drug: Placebo","Daytona Beach, Florida, United States|Evansville, Indiana, United States","https://ClinicalTrials.gov/show/NCT01720576"
873,"A Study to Assess the Safety and Tolerability of Single Ascending Doses of REGN1033(SAR391786)","Completed","No Results Available","Healthy Volunteers","Drug: REGN1033(SAR391786)|Drug: Placebo","Honolulu, Hawaii, United States|Evansville, Indiana, United States","https://ClinicalTrials.gov/show/NCT01507402"
874,"Safety Study of a Single Dose of REGN88(SAR153191)in Patients With Rheumatoid Arthritis","Completed","No Results Available","Rheumatoid Arthritis","Biological: REGN88","Duncansville, Pennsylvania, United States|Dallas, Texas, United States","https://ClinicalTrials.gov/show/NCT01055899"
875,"Ascending Multi-dose Study of REGN727(SAR236553) With and Without Concomitant Atorvastatin","Completed","No Results Available","Hypercholesterolemia","Drug: REGN727(SAR236553)","Site 1, Cincinnati, Ohio, United States|Site 2, Knoxville, Tennessee, United States","https://ClinicalTrials.gov/show/NCT01161082"
876,"Safety and Efficacy Trial of Dymista Nasal Spray in Children Ages 4 to 11 With Seasonal Allergic Rhinitis (SAR)","Completed","Has Results","Seasonal Allergic Rhinitis","Drug: azelastine hydrochloride and fluticasone propionate|Drug: Dymista vehicle","Clinical Research Center of Alabama,LLC, Birmingham, Alabama, United States|Little Rock Allergy and Asthma Clinical research Center, Little Rock, Alaska, United States|Clinical Research Atlanta, Atlanta, Georgia, United States|Aeroallergy Research Laboratories of Savannah, Savannah, Georgia, United States|Atlanta Allergy and Asthma Clinic, Stockbridge, Georgia, United States|Sneeze, Wheeze and Itch Associates, Normal, Illinois, United States|Clinical Research Institute of Indiana, Indianapolis, Indiana, United States|Family Allergy and Asthma Reserach, Louisville, Kentucky, United States|Institute for Asthma and Allergy PC, Wheaton, Maryland, United States|Respiratory Medicine Research Institute of Michigan, Ypsilanti, Michigan, United States|Clinical Research Institute, Plymouth, Minnesota, United States|The Clinical Research Center, St. Louis, Missouri, United States|Clinical Research of the Ozarks,Inc, Warrensburg, Missouri, United States|Allergy and Asthma Research NJ inc, Mount Laurel, New Jersey, United States|Atlantic Research Center, Ocean, New Jersey, United States|Princeton Center for Clinical Research, Skillman, New Jersey, United States|North Carolina Clinical Research, Raleigh, North Carolina, United States|Bernstein Clinical Research Center, Cincinnati, Ohio, United States|Allergy, Asthma & Clinical Research Center, Oklahoma City, Oklahoma, United States|Oklahoma Institute of Allergy and Asthma, Oklahoma City, Oklahoma, United States|Allergy and Asthma Specialist PC, Blue Bell, Pennsylvania, United States|Asthma and Allergy Research Associate, Upland, Pennsylvania, United States|National Allergy, Asthma and Urticaria of Charleston, Charleston, South Carolina, United States|Allergy and Asthma Consultants, LLP, Charleston, South Carolina, United States|Isis Clinical Research, LLC, Ausitn, Texas, United States|Sirius Clinical Research, Austin, Texas, United States|Central Texas Health Research, New Braunfels, Texas, United States|Sylvana Research Associates, San Antonio, Texas, United States|Live Oak Allergy and Asthma Clinic, San Antonio, Texas, United States|Allergy Asthma Research Institute, Waco, Texas, United States|Immunology/allergy and asthma Care of Waco, Waco, Texas, United States","https://ClinicalTrials.gov/show/NCT01915823"
877,"Study of the Safety and Efficacy of REGN727/SAR236553 in Patients With HeFH Hypercholesterolemia","Completed","Has Results","Hypercholesterolemia","Drug: Alirocumab|Drug: Placebo","Huntsville, Alabama, United States|Mission Viejo, California, United States|Newport Beach, California, United States|Bridgeport, Connecticut, United States|Jacksonville, Florida, United States|Miami, Florida, United States|Port Orange, Florida, United States|Chicago, Illinois, United States|Kansas City, Kansas, United States|Auburn, Maine, United States|Biddeford, Maine, United States|St. Louis, Missouri, United States|Concord, New Hampshire, United States|Durham, North Carolina, United States|Cincinnati, Ohio, United States|Nashville, Tennessee, United States|Houston, Texas, United States|Winnipeg, Manitoba, Canada|London, Ontario, Canada|Chicoutimi, Quebec, Canada|Montreal, Quebec, Canada|St. Foy, Quebec, Canada","https://ClinicalTrials.gov/show/NCT01266876"
878,"A Safety and Tolerability Study of REGN88(SAR153191) in Subjects With Rheumatoid Arthritis","Completed","No Results Available","Rheumatoid Arthritis","Drug: REGN88|Other: Placebo","Institute of Rheumatology under the Russian Academy of Medical Sciences, Moscow, Russian Federation","https://ClinicalTrials.gov/show/NCT01026519"
879,"Study of Dupilumab (REGN668/SAR231893) Monotherapy Administered to Adult Patients With Moderate-to-Severe Atopic Dermatitis","Completed","Has Results","Dermatitis, Atopic","Drug: Dupilumab|Drug: Placebo (for Dupilumab)","Anniston, Alabama, United States|Birmingham, Alabama, United States|Phoenix, Arizona, United States|Bakersfield, California, United States|Costa Mesa, California, United States|Fremont, California, United States|Long Beach, California, United States|Los Angeles, California, United States|Orange, California, United States|Roseville, California, United States|Temecula, California, United States|Trumbull, Connecticut, United States|Miami, Florida, United States|Oviedo, Florida, United States|Tampa, Florida, United States|West Palm Beach, Florida, United States|Alpharetta, Georgia, United States|Atlanta, Georgia, United States|Columbus, Georgia, United States|Buffalo Grove, Illinois, United States|Plainfield, Indiana, United States|West Des Moines, Iowa, United States|Overland Park, Kansas, United States|Rockville, Maryland, United States|Washington Park, Maryland, United States|Boston, Massachusetts, United States|Farmington Hills, Michigan, United States|Minneapolis, Minnesota, United States|Plymouth, Minnesota, United States|Saint Joseph, Missouri, United States|Saint Louis, Missouri, United States|Billings, Montana, United States|Bozeman, Montana, United States|Las Vegas, Nevada, United States|Verona, New Jersey, United States|Forest Hills, New York, United States|New York, New York, United States|Smithtown, New York, United States|Chapel Hill, North Carolina, United States|Raleigh, North Carolina, United States|Wilmington, North Carolina, United States|Winston-Salem, North Carolina, United States|Tulsa, Oklahoma, United States|Portland, Oregon, United States|Jenkintown, Pennsylvania, United States|Greer, South Carolina, United States|Arlington, Texas, United States|Austin, Texas, United States|Bellaire, Texas, United States|Houston, Texas, United States|San Antonio, Texas, United States|Richmond, Virginia, United States|Seattle, Washington, United States|Calgary, Alberta, Canada|Edmonton, Alberta, Canada|Surrey, British Columbia, Canada|St. John's, Newfoundland and Labrador, Canada|Ajax, Ontario, Canada|Mississauga, Ontario, Canada|Oakville, Ontario, Canada|Ottawa, Ontario, Canada|Peterborough, Ontario, Canada|Richmond Hill, Ontario, Canada|Montreal, Quebec, Canada|Lille Cedex, France|Marseille, France|Nantes, France|Berlin, Germany|Bochum, Germany|Darmstadt, Germany|Friedrichshafen, Germany|Hamburg, Germany|Kiel, Germany|Hong Kong, Hong Kong|Lucca, Italy|Pisa, Italy|Roma, Italy|Busan, Korea, Republic of|Gyeonggi-do, Korea, Republic of|Incheon, Korea, Republic of|Seoul, Korea, Republic of|Kaunas, Lithuania|Klaipeda, Lithuania|Vilnius, Lithuania|Elblag, Poland|Gdansk, Poland|Katowice, Poland|Poznan, Poland|Torun, Poland|Warsaw, Poland|Stockholm, Sweden|London, United Kingdom|Plymouth, United Kingdom","https://ClinicalTrials.gov/show/NCT02277769"
